final list,gamma list,circular list
79443876,60432,0
273000306,219995,0
446715572,376411,0
592808733,531773,0
717299802,686413,0
820711223,836413,0
1101973178,1222515,0
998377617,1213087,0
1275444241,1696265,0
1114735204,1627315,0
1385855115,2220370,0
1429786076,2531889,0
1461659162,2854504,0
1483700671,3192716,0
1496926453,3541532,0
1502505774,3898993,0
1757342321,5030252,0
1504044567,4733713,0
1745613515,6023748,0
1484577654,5603534,0
1713643014,7055134,0
1695508798,7644155,0
1915854355,9489247,0
1654809695,8976195,0
1627871386,9580008,0
1831910513,11745631,0
1803589321,12620227,0
1550815162,11743422,0
1961140262,16110354,0
1717034455,15330152,0
1689509129,16264685,0
1874714187,19492795,0
1646533861,18431675,0
1835841734,22056912,0
1832768868,23637872,0
1850635275,25493157,0
1970042001,27806320,164830583
2290409687,32264813,442981363
2104034246,31019939,229431703
1753483671,26104108,149939671
1809571916,26910549,132997232
1845043771,27253811,120150840
1556685909,22757213,92332719
1590454704,22963982,87563557
1476085993,20999593,76162383
1371508092,19239673,66973107
1274648687,17626092,59385243
1186212397,16132063,53009364
1202407140,16085508,51744532
1117121211,14729641,46390589
1037913528,13440072,41780330
965644770,12283354,37770176
971966554,12173656,37025219
902759878,11137905,33528115
839035186,10177349,30451928
780098271,9299171,27730092
780855191,9127044,27204247
725318396,8327045,24788384
673974562,7608342,22637143
626803230,6978371,20712690
624292359,6863224,20308176
580001685,6304735,18584903
539145184,5805494,17037412
501479590,5350608,15643724
497342605,5241610,15321030
462240722,4805744,14066544
429744574,4403749,12933466
424569902,4282362,12634521
394386137,3933445,11615423
366759926,3625029,10693029
360908932,3540492,10422399
335326558,3266826,9594451
311777850,3016669,8842275
305873731,2941241,8601015
284205055,2717826,7926472
277908374,2642577,7689200
245424881,2321101,6739296
240283726,2258879,6551628
234428805,2186449,6346401
217784683,2005090,5854883
202436732,1837872,5407069
197105992,1764299,5231545
183138301,1617605,4831408
170312790,1484306,4466274
165556776,1422886,4316564
160463589,1360693,4160480
149040703,1242331,3843097
138494444,1133340,3553882
134139484,1076690,3422683
124626973,983937,3165015
120429897,937684,3044321
111950863,861451,2815702
104081400,791738,2606528
104121058,784054,2596890
93366577,696183,2316896
93152374,689104,2302877
83522517,612691,2057818
83267724,606162,2040807
77272763,558485,1888065
71857638,516136,1748381
68988282,492550,1673057
66157467,469677,1598669
61514391,434194,1480149
58872502,414163,1413545
54800377,382920,1309198
52402517,364703,1249577
50182963,347220,1191349
46553977,320990,1103506
44596228,305908,1051731
42498573,290604,1001206
39557736,268790,927612
37695378,255619,882873
36011321,243133,839565
34265247,230617,797591
31854770,213339,739003
30339630,202442,702053
28842531,192023,666441
27500930,181710,632230
25487088,167885,585954
24831329,162575,568266
23030178,150381,526547
21862384,142131,498889
20822339,134010,472444
19285550,123702,438020
18707784,119042,423393
17747217,112092,400373
16431403,103427,371131
15934322,99163,357801
14802299,91411,331709
14233365,87539,319320
13264959,80463,296042
12783686,76552,284628
11829150,70423,263879
11412305,67041,253426
10812930,62252,238956
10004249,56782,221591
9616300,53681,212484
9112603,49595,200261
8710202,46359,191645
8075049,41824,177687
7759670,38758,169918
7343182,34924,159932
6887279,31508,150531
6580406,28884,143688
6219342,26085,135117
5873683,23388,127068
5500104,21042,119478
5246975,19446,113865
5018381,17965,108395
4741960,16191,101800
4442239,14469,95626
4219545,13223,90932
3972923,12187,85372
3797432,11436,81109
3573792,10378,76121
3412868,9573,73083
3166221,8584,67782
3048224,8034,65002
2877667,7479,60945
2737481,6799,57754
2578125,6127,54704
2416352,5519,51268
2293364,5072,48532
2200403,4830,46374
2077081,4600,43421
1958837,4246,41069
1840941,3853,38815
1740336,3512,36669
1649824,3191,34641
1578599,2902,32996
1489111,2651,30872
1420765,2440,29380
1329848,2156,27713
1253536,1962,26130
1183780,1836,24638
1127798,1711,23403
1069057,1549,22057
1019591,1443,20925
965445,1408,19705
904320,1336,18689
851621,1260,17588
804972,1179,16667
766205,1072,15785
722370,968,14843
692119,823,14142
657110,654,13289
624513,587,12570
585700,527,11880
547888,495,11165
520506,493,10610
494668,500,10080
466616,536,9464
441396,572,8930
421092,544,8473
401551,472,8036
379736,330,7537
148351,111,2921
0,0,0
0,0,0
