final list,gamma list,circular list
9930484,7554,0
36103079,29093,0
62500472,52664,0
87748134,78714,0
112329830,107493,0
135973996,138575,0
193155734,214284,0
185140961,224957,0
250230503,332792,0
231377744,337770,0
304325813,487580,0
332172075,588216,0
359260330,701607,0
385816271,830223,0
411818454,974309,0
437313199,1134825,0
541132849,1548950,0
489981102,1542128,0
601641542,2076140,0
541332042,2043256,0
661077330,2721681,0
691995152,3119841,0
827249646,4097376,0
755950312,4100506,0
786749324,4630012,0
936680844,6005701,0
975654684,6826933,0
887543427,6720851,0
1187433574,9754517,0
1099893849,9820152,0
1144994500,11022713,0
1344153969,13976167,0
1248980661,13981374,0
1473300651,17701125,0
1556090805,20069457,0
1662337370,22899287,0
1872168408,26424876,156641640
2302786599,32439166,445375145
2238022358,32995337,244042264
1973260568,29375926,168732704
2154416436,32038809,158342102
2323975657,34328288,151339298
2074421429,30325996,123041501
2242272525,32375336,123449828
2201657934,31321970,113600098
2164251138,30360364,105684118
2127996347,29426352,99142282
2095144245,28493210,93627637
2246850163,30057811,96691217
2208482476,29119628,91711447
2170830561,28110356,87384945
2136747684,27180211,83576631
2275402679,28498892,86677141
2235889251,27585544,83039968
2198514365,26667592,79792842
2162566862,25778904,76872596
2290138907,26768342,79786245
2250562668,25837669,76914927
2212468104,24976039,74311345
2176886737,24235871,71935144
2293843172,25217606,74618518
2254634006,24508326,72244883
2217295739,23875752,70068292
2181937214,23280490,68065826
2289368733,24128193,70525804
2251123800,23404090,68504419
2214178724,22689495,66637268
2314315530,23343001,68870329
2274396101,22683890,66985299
2237677180,22117043,65240355
2329615682,22853368,67275102
2289948405,22309186,65520598
2252548229,21794982,63884109
2337987127,22481776,65743017
2298279426,21978226,64098954
2377627190,22608398,65784456
2221425785,21009088,60999703
2300957902,21631031,62738417
2375015141,22151074,64295843
2334284767,21491183,62754475
2295550847,20840726,61313982
2364659002,21166099,62762273
2324443374,20531102,61321607
2286957782,19931246,59973059
2351954627,20213993,61322541
2411734944,20450939,62531162
2369894754,19754293,61109053
2329848145,19065822,59785832
2387387901,19162717,60916224
2346656365,18526978,59595466
2399069680,18679489,60645553
2359429959,18155587,59342567
2320725983,17653552,58118335
2456181207,18495565,61259763
2330152595,17374662,57822841
2459562999,18194850,60804367
2333128672,17114999,57483357
2460837335,17914083,60312625
2416037917,17461800,59032924
2376957087,17073094,57834174
2414319966,17237315,58550448
2449454958,17389623,59190103
2409563697,17007706,57978524
2439749684,17163432,58579049
2402632897,16788489,57399626
2430676257,16916631,57961288
2462648134,17039244,58463514
2416984947,16665117,57291694
2449550429,16802720,57768761
2469640256,16887345,58181203
2431990465,16525071,57029166
2451826003,16626282,57424828
2478059225,16730763,57773244
2494580904,16789370,58066252
2453518247,16431812,56919530
2472271735,16496324,57207908
2486511020,16554257,57453762
2508276932,16573243,57663795
2459344815,16199876,56540916
2534954995,16596752,58012515
2487360257,16241842,56869333
2498101107,16240525,57005447
2517173206,16200216,57112840
2466531695,15820883,56020647
2531326167,16107413,57288703
2540546373,16046184,57314158
2488528386,15664032,56207583
2553128363,15888699,57329839
2509223391,15495666,56229993
2552635623,15699417,57267441
2516855273,15266766,56170070
2566135263,15366711,57134777
2512164475,14955838,56040242
2564123920,15062817,56939813
2570278068,14797508,56800841
2515893711,14279624,55726290
2558508793,14282366,56533438
2565030058,13960011,56369646
2593876838,13805531,57071463
2544118526,13177120,55981849
2586464780,12918970,56637473
2589516372,12315829,56398659
2569526940,11755212,56160622
2597342905,11400761,56715000
2597120670,10892935,56423006
2594951450,10332532,56137892
2570755510,9834922,55844035
2594597414,9616172,56305329
2625401008,9398629,56707380
2624587478,8961656,56344459
2601214342,8472692,55995078
2614032272,8191477,56332673
2603913418,7987482,55953975
2633161379,7929808,56241141
2621729564,7612967,55842396
2648800097,7429624,56721124
2599812406,7048373,55656748
2648004833,6979114,56467929
2644743369,6873340,56011560
2661736995,6610492,56155750
2652095606,6303165,56273764
2629762384,6006083,55796053
2640586160,5840277,55879563
2680406636,5883564,56490215
2676843941,5928385,55958675
2670785010,5789560,55995309
2655532368,5558474,55990506
2655926238,5359902,55959796
2663737826,5152413,55930531
2696478535,4957148,56361661
2691058587,4790776,55790061
2716373638,4665897,56172545
2689925224,4360491,56056330
2682540108,4198050,55918453
2680104037,4156183,55780251
2701361926,4098950,56057279
2709090166,3926054,55893914
2733505148,3869726,56100291
2738372556,3994890,55892247
2713676281,4008350,56081679
2703667440,4000323,55838183
2703702778,3960285,55981954
2722666230,3808396,56090870
2715688927,3638191,55802216
2752783152,3271541,56245720
2765032905,2753550,55919771
2780195626,2614833,55957337
2758542645,2481012,55953698
2730030424,2467554,55631893
2743928914,2598434,55930944
2758876526,2786592,56219634
2753272419,3162286,55841916
2755426006,3569949,55747176
2781049014,3592156,55961532
2805712509,3299684,56149064
2807083101,2436883,55714058
1160207709,870239,22840470
0,0,0
0,0,0
