final list,gamma list
229774821,174103
734126178,593130
1226747250,1036517
1689902053,1518392
2128092675,2038706
2540677539,2593922
2931404279,3250676
3300600139,3996941
3648741075,4835324
3978097308,5795005
4289563222,6874790
4584049666,8094168
4764727277,9255146
5120999834,10951496
5370741689,12651652
5607329492,14542333
5832117824,16643847
6045601359,18964573
6248254024,21522316
6442684687,24349068
6628202982,27445473
6806604287,30847693
6978369729,34575312
7146501907,38663371
7308220483,43097481
7322767109,46997019
7627424914,53193301
7787922616,58969545
7952804549,65295644
8124870028,72241420
8306412329,79840912
8503929781,88221034
8725728720,97531036
8985967825,108013595
9311002989,120059757
9767216218,134591245
10846239110,152859338
11499166733,162048456
11198768165,164993970
10754121703,160082308
10352441216,153925663
9975168135,147343180
9617756146,140625496
9273012260,133899546
8943729507,127293351
8628892376,121097666
8322301613,115117506
8031815142,109203678
7746899270,103600090
7477207827,98581578
7073551752,91599128
6966941301,88611865
6720919101,84166503
6486353193,80044502
6259940137,75951154
6039405115,71992818
5828847262,68132486
5625749542,64611889
5427784467,61297457
5237766710,58318267
5055202230,55578975
4878772947,53043052
4707826256,50701423
4455256397,47534498
4386930815,46237424
4234006351,44023797
4084856524,41851495
3943230977,39767022
3804182727,37938477
3671795087,36287612
3542969890,34751146
3418944264,33307047
3299346432,31919986
3183739503,30610632
3072184442,29376765
2907446120,27646536
2862788445,27077024
2762274826,25966931
2665561034,24859518
2572297308,23687087
2481943911,22534547
2394922541,21438165
2310609170,20410617
2229795804,19430466
2151669858,18488235
2076084416,17602597
2003126973,16699594
1932354589,15813563
1829410717,14686778
1800525545,14219343
1737025605,13527199
1676610938,12904560
1617339564,12302898
1559915033,11746897
1506176899,11231003
1452650558,10746326
1400585804,10274430
1352963784,9849086
1304151936,9427096
1258900230,9042629
1214031897,8667814
1148654981,8154915
1131521040,7987769
1090288504,7670500
1053478854,7362660
1014895921,7063225
980340323,6782944
944182191,6510108
912775635,6261198
878768029,6009335
849179149,5770090
817795298,5545566
790378689,5335931
746782331,5026155
735471052,4926031
709427375,4733451
683513966,4550593
661035926,4367815
636006060,4189554
614782551,4025140
592129542,3866154
570844262,3711200
552487349,3556031
531142388,3406656
513022350,3264479
495286665,3128089
466902652,2939118
461184604,2870489
444851634,2747056
427629906,2630292
413769078,2510264
399239073,2390841
383532269,2283534
370883887,2178861
358735383,2065369
344527915,1955526
332473025,1855784
321818955,1750923
309413715,1646513
292107250,1513177
288321591,1440670
279079474,1327876
267753330,1225373
258017160,1132678
249643909,1047564
241387652,961403
231418846,885204
223060907,826451
215778870,772318
209011293,713800
200702005,653649
189316568,593263
186516836,572295
180670225,544247
174453310,506638
167079576,468681
160929143,436434
155542590,410112
150804654,391852
145769197,362073
139575223,331793
134411713,306974
129752896,286965
125458204,275426
119427699,264480
117044717,253765
112056813,234551
107955597,217954
104333024,201780
100921071,185542
97984934,174428
94593918,162523
90397206,146541
87016293,136119
83929734,130148
81054377,122930
78530745,113728
74527823,105486
73651093,107410
70053922,103480
67505154,99874
64843857,94992
62757155,87771
60592449,81183
58681127,69715
57090589,56853
55249295,51968
52780159,47442
50618645,45745
47775404,45196
46963033,47419
45459357,52086
43871450,56841
42475671,54868
41130015,48427
39944953,34715
15385445,11562
0,0
0,0
