final list,circular list
0,0
0,0
10338410,0
413961367,0
1278194051,0
2088938330,0
2824792595,0
3489409243,0
4091137713,0
4635619564,0
5125919726,0
5566595289,0
5840436056,0
6306938990,0
6623139209,0
6904465684,0
7153512321,0
7373398520,0
7567428535,0
7736821706,0
7885155209,0
8015491181,0
8126640581,0
8226916007,0
8311718623,0
8221528520,0
8454367991,0
8517905109,0
8579773506,0
8644368709,0
8715508358,0
8797657347,0
8899918602,0
9036617918,0
9233834204,0
9557502184,0
10503702758,1023002426
10992470688,2213345739
10496044930,1210816194
9884572657,886439823
9332276678,714240627
8819307174,601112586
8340049814,518904044
7887451981,455482532
7461007446,404570904
7060573400,362547966
6679472375,327123018
6321582260,296778452
5982151036,270449794
5661278335,247370560
5254865434,222661921
5074869477,209070692
4802319442,192778305
4546352297,178115979
4301886196,164859190
4072085984,152828948
3854434337,141876266
3647488547,131872304
3452415949,122714257
3268005794,114305229
3092895491,106574752
2926970784,99451009
2770354082,92874078
2571530808,85132708
2483546908,81241656
2350533919,76017498
2224428275,71169243
2105237032,66664930
1992339628,62476027
1885509762,58576614
1784456115,54943087
1688661134,51555072
1598129977,48394271
1512293982,45442056
1431130254,42684019
1328183353,39335243
1282515927,37724597
1213511469,35464975
1148248796,33349320
1086477896,31366496
1027978376,29508533
972713143,27767041
920522146,26132804
871075487,24600059
823950643,23161534
779497767,21810538
737718030,20542261
698165541,19349847
647501638,17878966
625042357,17189659
591708467,16199364
559568117,15266948
529183467,14390926
501060132,13565949
473741205,12790162
448017698,12060185
424284815,11372161
400849604,10725241
379473495,10115667
358926458,9541511
339285605,9000885
315195053,8328080
303631674,8017611
287713394,7564705
271690478,7138281
257327675,6735939
243034322,6356829
230170557,5999402
217408371,5662862
205856039,5345229
194376740,5045644
184150947,4762542
173816971,4496187
161514581,4163035
155499543,4010709
147329994,3786490
139137997,3575268
131591330,3375919
124463183,3187864
117516001,3010205
111375115,2842658
105065182,2684479
99402023,2535258
94003948,2394298
88729961,2261270
84054895,2135938
77828574,1978596
75020620,1906897
71047361,1801093
66993142,1701357
63337309,1607136
60002124,1518199
56572432,1434049
53452723,1354779
50593022,1279763
47751614,1208933
45050151,1142182
42654473,1079020
40366415,1019467
37240932,944618
35944269,910547
34008913,860399
32096153,812868
30211602,768016
28614939,725634
27078123,685621
25520032,647806
24000960,612142
22704118,578444
21467199,546479
20249255,516393
18632223,478569
17938190,461415
16959151,436083
15923937,412029
14988908,389368
14154642,367880
13385586,347594
12672065,328542
11908032,310485
11211978,293369
10600537,277227
10038776,261968
9517068,247562
8828129,229476
8449290,221279
7971526,209133
7535457,197566
7132764,186758
6757577,176490
6406240,166751
6010068,157610
5663184,148942
5355422,140756
5076374,133024
4812540,125719
4564817,118820
4248053,110119
4066867,106198
3823524,100391
3610862,94875
3415171,89678
3234133,84720
3064946,80072
2907404,75686
2762407,71519
2596616,67615
2434797,63877
2301021,60389
2137896,55959
2068431,53976
1961209,51034
1860244,48214
1765875,45554
1676518,43063
1592823,40702
592644,15255
0,0
0,0
