final list,gamma list,circular list
57443705,43526,0
190556945,153959,0
330615514,279347,0
472872145,424880,0
618282278,592312,0
766407724,782469,0
918121390,1018118,0
1073325296,1299769,0
1231957030,1632594,0
1394575335,2031517,0
1561326439,2502304,0
1732383419,3058912,0
1869591887,3631550,0
2086304008,4461658,0
2271805564,5351606,0
2462674613,6386825,0
2659446815,7589597,0
2862322670,8978880,0
3071509226,10579914,0
3288320098,12427665,0
3512505985,14544272,0
3745120875,16972977,0
3986606542,19752201,0
4238937143,22933122,0
4500794324,26541741,0
4682381674,30051206,0
5063882191,35315275,0
5368356433,40648778,0
5691858409,46732390,0
6037598991,53682671,0
6408780405,61600948,0
6812329314,70672119,0
7257578442,81120920,0
7760129239,93278707,0
8348618660,107650393,0
9092912736,125299412,0
10483962504,147753664,972178676
11540555633,162631716,2225306214
11669296239,171926366,1287922818
11634920530,173193589,997543791
11629078726,172907396,850351253
11634208035,171848854,757147900
11646741206,170292190,691485458
11659114332,168354152,642153445
11675552643,166174549,603438245
11695745403,164137807,572103696
11711981239,162004952,546124272
11735853630,159565224,524184089
11752843476,157171999,505369723
11777918868,155283343,489036948
11568597335,149807829,465704791
11830398787,150469719,462624903
11849498327,148392031,451299759
11873696733,146526733,441144553
11897880501,144355654,431978661
11918117101,142070091,423668185
11942911781,139598832,416103216
11968011717,137452945,409181519
11988870505,135393599,402836240
12012015660,133744013,396981899
12037112952,132340977,391588594
12061698601,131137340,386594783
12084602091,130146375,381955183
11874045096,126687832,370412331
12139501136,127948054,373971795
12164818206,126485754,370207105
12185545853,124847301,366686245
12213340392,123170106,363388177
12233695792,122004599,360294692
12259953056,121162649,357387880
12282644880,120474065,354649793
12306385582,119887700,352070101
12330494092,119293080,349641355
12353901941,118778796,347342486
12377358567,118354468,345172614
12162039944,115647294,336530137
12433633708,117600656,341458424
12456320157,117096388,339612744
12480315689,116393745,337864371
12504668018,115149660,336195976
12527287052,113740177,334614861
12550776651,112348360,333118154
12572443288,111057866,331684974
12597151424,109771721,330329253
12621092660,108446808,329040454
12643880740,107204281,327807928
12666537831,105597919,326642298
12686748533,103822921,325516344
12470641398,100116141,318206286
12743564534,100640125,323671684
12764738399,99406224,322705599
12792400769,98460710,321759864
12812534136,97463331,320877659
12830655120,96620893,320016239
12862871578,95913667,319204475
12880631918,95287520,318432933
12894360200,94590564,317671406
12932733032,94145609,316966429
12943341047,93561276,316280081
12972497042,93180917,315620764
12989021272,92737613,314995754
12759980012,90589911,308343988
13050798698,92129763,314055685
13056595608,91856987,313490789
13098706352,91545569,312966244
13102016855,91184220,312444661
13140369462,90917805,311951174
13140157713,90600995,311476377
13189334273,90472434,311045749
13183998589,90156972,310617336
13227759333,89881342,310203744
13226521289,89690595,309770694
13272425955,89603566,309397659
13020365824,87632465,303077560
13314007566,89174433,308912846
13334146482,88968274,308547987
13338860633,88805392,308223371
13394005366,88501298,307907355
13380141995,88138826,307608932
13428733792,87921385,307302666
13429020109,87681252,307019574
13441857848,87388849,306741499
13507595894,86940325,306482511
13482820310,86476492,306219532
13521352461,86039470,305969499
13553596319,85600640,305763409
13265948749,83508176,299657413
13605071803,84680210,305538813
13625589193,84140989,305313644
13599477841,83648494,305124227
13662376805,82887230,304933360
13687222557,81965857,304755954
13652062363,81283770,304549999
13707188425,80526707,304392633
13765712486,79254172,304204980
13726599399,77911603,304025478
13753366665,76767966,303888352
13822235564,75202749,303724319
13798131935,73425328,303594769
13524995597,70062322,297610489
13860727495,69258546,303504702
13929990443,66279686,303413014
13876242045,63504616,303267290
13883521584,60947727,303142675
13947169748,58525573,303015675
14002133884,55767946,302902531
13937727279,53313428,302785174
13948604673,51680227,302700500
14009746587,50143832,302616786
14089811417,48118488,302466155
14047569931,45750315,302380896
13757900928,43113256,296476222
14073290673,43181485,302418205
14153969869,42637107,302382852
14190083746,41210085,302264279
14110524991,39581947,302196729
14111350190,38269470,302069383
14161108833,37337945,301956536
14255312493,37041116,301949395
14306777468,35536299,301894395
14223237249,33810948,301786500
14221365657,32479234,301711722
14253952595,31524426,301631293
14309728029,31415013,301565924
14143322411,31321259,295737915
14391705252,31202699,301703842
14305820443,29944136,301671685
14309805467,28890390,301505158
14359007583,27770311,301532071
14421105153,26513003,301469918
14537511139,25878968,301344849
14571626580,25035695,301335041
14458188747,23437864,301270624
14450188873,22604333,301214083
14471143684,22440086,301170059
14510338513,22006904,301128135
14596705736,21138907,301102294
14382938851,20357480,295228044
14757828465,21522265,301218739
14574369623,21528499,301251270
14581705430,21573660,301202632
14543009602,21304556,301205403
14613786627,20438573,301049269
14649813095,19628119,301024446
14730791660,17500638,301029544
14880112957,14818188,300944247
14951422301,14063447,301008851
14829978624,13330082,300848166
14767072582,13345275,300906266
14471126019,13689827,294997657
14769580409,14912979,301034676
14843946221,17007759,301128043
14873806782,19270894,300978671
14951833714,19314049,300858175
15032359080,17699290,300890484
15158081964,13173449,300880597
6061867814,4555430,119304037
0,0,0
0,0,0
