final list,circular list
115784,0
107820,0
65616,0
51528,0
43384,0
37780,0
33628,0
30380,0
27748,0
25520,0
23660,0
22008,0
20188,0
19340,0
18192,0
17172,0
16240,0
15376,0
14584,0
13856,0
13200,0
12576,0
12004,0
11484,0
10940,0
10300,0
10036,0
9628,0
9228,0
8856,0
8484,0
8164,0
7852,0
7560,0
7276,0
6984,0
666728,2108280
446340,1604862
6252,161976
6020,123168
5808,103038
5608,90060
5372,80730
5212,73572
5028,67884
4856,63156
4688,59154
4528,55722
4376,52734
4212,50094
4004,46782
3952,45624
3816,43686
3688,41874
3564,40278
3452,38766
3348,37356
3236,36054
3128,34836
3032,33708
2928,32634
2828,31590
2748,30648
2612,29172
2580,28884
2496,28080
2416,27276
2348,26532
2260,25800
2200,25158
2136,24474
2072,23862
2008,23244
1944,22668
1896,22104
1804,21138
1772,21042
1720,20562
1668,20082
1612,19620
1568,19152
1524,18714
1476,18270
1428,17862
1380,17454
1352,17034
1308,16668
1272,16398
1208,15660
1196,15624
1160,15312
1132,14964
1092,14652
1060,14316
1036,14046
1000,13734
976,13452
944,13188
916,12912
892,12642
864,12390
824,11886
812,11886
788,11646
772,11406
744,11172
720,10950
716,10722
684,10524
660,10296
648,10098
628,9894
608,9708
588,9336
572,9324
564,9156
548,8970
528,8790
508,8610
512,8478
484,8286
472,8106
460,7962
452,7812
440,7662
428,7512
404,7224
396,7230
388,7098
380,6960
368,6816
348,6702
364,6576
332,6432
328,6300
320,6180
324,6078
276,5958
324,5844
272,5610
264,5652
284,5520
280,5418
248,5310
244,5220
240,5106
236,5022
228,4920
224,4830
220,4722
216,4638
208,4470
204,4476
196,4386
188,4296
184,4242
172,4152
184,4056
188,3990
156,3912
148,3840
156,3762
188,3708
128,3636
116,3492
200,3498
104,3426
128,3384
168,3324
76,3252
188,3180
76,3114
140,3060
112,3006
108,2946
124,2886
92,2826
116,2712
100,2742
88,2676
128,2634
36,2586
180,2538
0,2490
160,2442
56,2394
52,2340
164,2304
0,2262
112,2178
104,2178
0,2136
140,2082
80,2064
0,2022
124,1992
80,762
0,0
0,0
