final list,circular list
43850,0
50531,0
35580,0
32665,0
38795,0
32870,0
33325,0
29147,0
28299,0
32423,0
86958,0
64060,0
73072,0
73271,0
55624,0
56787,0
70178,0
54823,0
65783,0
53712,0
60559,0
94590,0
147728,0
108241,0
86856,0
104791,0
102584,0
93875,0
102488,0
89154,0
88977,0
89307,0
82624,0
95688,0
91052,0
103673,0
479665,75914
530354,84936
219871,24962
181327,17458
187364,16562
189196,16096
164477,13314
167490,13606
177886,12820
164765,12248
171466,11846
155525,11622
163343,12636
168575,12938
173898,13952
195860,18754
190136,14538
140177,6110
132154,5914
138184,5752
152505,6020
167439,5860
150666,5726
124600,5602
133047,5888
126048,5784
105705,5698
101688,5630
106239,5960
106030,5920
107505,5932
103353,6332
106578,6426
108743,6602
111422,7304
110867,7916
119426,9422
143892,14072
116775,4746
100107,3052
87573,2838
89242,2936
96704,3024
91337,2964
90305,2912
85118,2990
89121,2934
89674,2894
82838,2976
81867,3050
81820,3004
76881,2954
79257,3038
81886,3000
95284,3082
96711,3042
94300,3014
115098,3208
78550,3072
78104,3278
68028,3140
73140,3360
66970,3362
65287,3354
64374,3478
66726,3618
68969,3652
67190,3840
65956,3932
67365,4184
74319,4542
72369,4896
75798,5676
78792,7506
89017,10728
46201,2234
41754,1238
42436,1244
42398,1220
44338,1226
49624,1236
41775,1234
37374,1212
38716,1246
38464,1216
39329,1222
63402,1222
83755,1194
65550,1230
60261,1230
55174,1204
54276,1230
50493,1200
49452,1224
48371,1204
45571,1224
40854,1202
40511,1220
40180,1212
39187,1196
39641,1210
39368,1204
40178,1224
39933,1198
43107,1212
38884,1208
35605,1198
35706,1214
35413,1208
35092,1200
34803,1198
35110,1208
35271,1210
35120,1210
34976,1198
35731,1208
36249,1200
33700,1202
33309,1196
33745,1212
33172,1192
33761,1212
33655,1202
33998,1206
35041,1204
32714,1190
32605,1198
32934,1204
33283,1204
34227,1202
32685,1194
31526,1198
30808,1200
30576,1204
30477,1198
30327,1202
30756,1200
30027,1200
30206,1190
30241,1210
30234,1186
30107,1208
30404,1204
29795,1200
30574,1192
29302,1200
31001,1198
29026,1190
30628,1204
29558,1194
29574,1200
30232,1202
28840,1190
29699,1196
29727,1218
28546,1182
29776,1186
28965,1204
28692,1210
28997,1198
12193,482
0,0
0,0
