final list,circular list
4425341,0
19623585,0
31859660,0
40524073,0
46750855,0
51293769,0
66389257,0
58235662,0
72454251,0
61885578,0
75475896,0
76634990,0
77433095,0
77798549,0
77937488,0
77894450,0
90860703,0
77710774,0
90313509,0
77032314,0
89314781,0
88887532,0
101191801,0
88154903,0
87597720,0
99607986,0
99244975,0
86454120,0
110854330,0
98495115,0
98411751,0
111013823,0
99206113,0
112562068,0
114550484,0
117862059,0
128665299,63975
153378903,163533
143101074,85061
121762381,56863
128321323,51739
133648664,47691
115340215,37422
120520241,36376
114546268,32476
108991142,29199
103773360,26475
98966957,24256
102915929,24288
98073343,22363
93531311,20675
89300090,19195
92332182,19340
88091566,17983
84137974,16785
80442029,15717
82786302,15861
79094038,14864
75643002,13979
72404034,13164
74242504,13285
71027835,12516
68013291,11820
65193023,11186
66646355,11348
63838173,10719
61221511,10132
62361106,10188
59797928,9687
57359676,9299
58276059,9265
55884919,8756
53648925,8417
54400294,8503
52205496,7960
52719716,8005
48144420,7419
48742376,7244
49137687,7336
47216761,7115
45411465,6545
45734846,6867
43964032,6349
42356007,6095
42566634,6241
42730994,5964
41157509,6065
39527455,5404
39745693,5827
38185532,5156
38328836,5577
36853412,4915
35561178,5170
36895876,4849
34293471,4976
35486246,4601
33048642,4765
34149463,4422
32910472,4633
31751889,4204
31661733,4200
31535064,4449
30463234,3786
30264564,4313
29285524,3719
29054883,3779
28986693,4122
27947570,3378
27748802,3797
27663076,3702
26598962,3224
26501500,3690
26323759,3420
25971358,3129
25256128,3499
25006932,3271
24674624,2920
24579661,3275
23781004,3313
23975397,2747
23309752,2894
23124193,3361
22744403,2707
22078353,2580
22411734,2922
22077623,3193
21333352,2372
21643319,2535
20972662,2799
21078125,3033
20397774,2222
20631394,2378
19977929,2552
20108593,3030
19813178,2218
19343122,2142
19383111,2316
19132742,2689
19207759,2708
18682395,1962
18749612,2082
18448029,2214
18251997,2555
18333575,2707
18143204,1857
17880696,1926
17598418,2026
17650626,2229
17726645,2779
17550894,2166
17302331,1766
17210238,1855
16992227,1949
17048954,2122
16951989,2577
17263741,2481
16787502,1649
16873031,1742
16688473,1812
16717557,1930
16784526,2104
16739526,2527
16870088,2670
16808766,1606
16604550,1659
16585118,1732
16633506,1828
16736598,1947
16857509,2125
17238384,2515
17234989,3086
17195582,1700
17183703,1642
17260927,1715
17360523,1798
17659397,1916
17868453,2037
18222206,2231
18657634,2499
18966990,3285
19069129,3174
19152273,1722
19546232,1821
19757754,1912
20465970,2048
20876483,2175
21551973,2343
22350701,2540
23213576,2780
24428590,3158
25549515,3742
26576889,5333
27753629,4536
29263804,2500
31033137,2756
33136633,3033
14778698,1375
0,0
0,0
