final list,circular list
30103335,0
167278712,0
309308856,0
430853530,0
532761799,0
618048173,0
837886248,0
764561828,0
984316451,0
866361894,0
1085155270,0
1128424060,0
1164967132,0
1193520817,0
1217094903,0
1236367678,0
1463868018,0
1269340192,0
1494035346,0
1289373157,0
1511303742,0
1519325421,0
1745921385,0
1534293497,0
1536996287,0
1760950854,0
1766879880,0
1549235406,0
1998569223,0
1785788407,0
1793643539,0
2033177369,0
1825113753,0
2079454429,0
2124321283,0
2193462400,0
2402280830,1194465
2872190212,3062353
2686952969,1597171
2291865691,1070304
2420624906,976008
2526061241,901407
2183797677,708543
2285332562,689782
2174887668,616631
2071692717,555021
1974298952,503700
1884202009,461807
1960423297,462674
1868832435,426155
1782595528,394052
1701964071,365851
1759472488,368556
1678125910,342588
1602044913,319616
1530703981,299092
1574080014,301595
1502477997,282362
1435378224,265266
1372245906,249505
1405182803,251447
1342333149,236549
1283271293,223036
1227894639,210700
1252895461,213343
1197681317,201104
1146124810,189685
1164807217,190308
1114255230,180509
1066129713,172845
1080302486,171763
1033116208,161881
988923865,155156
999766791,156274
956440616,145843
962738169,146193
876241304,135028
884049622,131389
888027881,132595
850158644,128112
814537863,117401
817118729,122691
782308311,112989
750564935,108016
751079272,110137
750676895,104784
719785444,106074
688092848,94080
688624825,100959
658394113,88904
657592943,95696
629076425,83913
603872984,87796
623218585,81905
576124308,83609
592865007,76881
549020894,79159
564035951,73038
540371549,76087
518215968,68619
513577208,68137
508324632,71728
487916904,60644
481584210,68643
462917689,58792
456170588,59341
451968350,64284
432710844,52314
426564638,58380
422152885,56500
402906000,48847
398400190,55482
392686956,51029
384398201,46312
370833770,51385
364196309,47651
356388817,42177
352032392,46918
337678827,47048
337472949,38672
325193424,40384
319692045,46477
311551538,37093
299598571,35011
301226027,39275
293858381,42507
281149227,31266
282367924,33079
270818824,36144
269345284,38765
257886636,28098
258022722,29746
247101783,31576
245931283,37063
239552893,26821
231150749,25597
228885143,27358
223202049,31371
221321396,31209
212569615,22333
210608661,23391
204521801,24547
199660885,27952
197836656,29219
193077284,19768
187601435,20214
181983961,20959
179844214,22717
177911807,27900
173452202,21406
168322961,17183
164753499,17762
160012064,18359
157868287,19654
154293185,23459
154389541,22193
147450863,14488
145494617,15026
141211446,15336
138747281,16020
136568193,17120
133460817,20152
131725484,20848
128466935,12281
124146906,12403
121232414,12665
118795699,13056
116711127,13581
114699906,14464
114359167,16687
111391701,19949
108185630,10701
105148468,10051
102632210,10199
100205304,10382
98846130,10728
96882218,11049
95590672,11703
94574868,12668
92774430,16070
89873482,14961
86836145,7811
85108576,7932
82463684,7981
81711336,8177
79552956,8289
78191632,8502
76992623,8751
75693892,9066
75144215,9716
73856147,10818
71881257,14425
69881400,11423
68199581,5826
66486245,5905
64738242,5926
26073447,2427
0,0
0,0
