final list,circular list
5071901,0
26145371,0
48342998,0
84921447,0
91431140,0
108860129,0
151903396,0
142930052,0
189991842,0
172407649,0
222850434,0
238813373,0
253760183,0
313490266,0
282543765,0
294543251,0
357679197,0
371690655,0
329101569,0
395429369,0
407056562,0
478615340,0
429928994,0
503447666,0
450656230,0
526230149,0
537889951,0
549439259,0
561128228,0
645298461,0
586539368,0
675711892,0
694180938,0
714960349,0
741364298,0
776206306,0
962492417,506420
1046623845,1093978
993232489,586420
953898146,442372
918085782,367314
885395841,316076
939377973,305304
904519897,273200
872486536,248164
842335277,226728
885800613,226234
853602733,208954
823298633,194092
794649167,181108
767357694,169718
802197338,172378
773583246,161886
746549358,152450
775378962,154728
694873164,135692
722635079,138436
697434082,131232
720809442,133262
649291003,117996
671980534,120398
691121212,121884
625093095,108564
643801712,110528
621393158,105882
636777701,106824
614048613,101592
592492917,96842
572248053,92628
584671799,94784
564258611,89694
574359849,90050
525119879,82326
535746227,83722
543865897,83062
524231727,79590
506229685,77996
513001565,76340
494595604,73772
477558672,71930
483005629,69668
465988557,70020
469938531,67874
453836201,65252
456312626,66980
440219045,61330
425503718,62728
426777410,58456
429130507,62938
397273430,53638
414977281,60404
399467165,53336
385829132,56020
386093217,50678
372641194,54036
372257361,48226
371607820,53478
358477295,46310
345913616,48618
355935246,47252
332663704,44042
341733173,48302
329950552,41008
327253441,46676
316389563,40162
313302576,40862
303426599,43234
308861308,37378
297558855,40820
288266506,38590
291618491,35338
282223872,39414
279478988,36164
268358313,32358
273335943,37916
263174530,34316
258820899,30648
251167935,33456
253489569,35300
243366315,27868
246225122,30534
237974763,34578
233038034,27770
229872084,26904
227313655,29674
222816325,32262
218408582,24282
212009694,24820
212249726,28270
208022063,30004
203753459,22218
201039503,23162
196830972,25142
193310531,29152
189181438,21232
189450002,20972
182235124,21784
181329937,25484
177723634,25056
174123130,18314
170605157,18928
168841078,20228
165467666,23140
164525401,24264
159025522,16282
157320779,16946
155200628,17886
151856021,19188
148888702,23378
147624965,18248
143826227,14658
141278872,15232
139358794,15972
136341038,16992
133776533,20344
134312744,19318
130210436,12794
126139455,13024
125563482,13634
122501119,14136
122233510,15340
119868170,18122
117534683,18582
115033688,11000
112642796,11256
110348226,11524
108477995,11926
106921644,12454
105423897,13304
104541051,15250
103934560,18566
99573540,9840
97928392,9358
96651981,9616
93915620,9738
92933273,10090
92071807,10492
90437070,11072
90422320,12120
88322593,15328
86443331,14350
83198450,7478
82352237,7674
80039200,7754
79020266,7914
77681686,8096
76575308,8320
75625125,8596
75025200,8984
74233965,9596
73171251,10708
71439703,14322
70430646,11500
68153370,5824
66638913,5918
65433579,5988
26080713,2436
0,0
0,0
