final list,circular list
63619525,0
280625674,0
506430631,0
718484640,0
918286608,0
1107000121,0
1284992408,0
1453156747,0
1612579845,0
1762188841,0
1904865099,0
1997144349,0
2163671275,0
2283629084,0
2397265193,0
2505899967,0
2608264644,0
2705383268,0
2798106304,0
2886653190,0
2971541148,0
3053069648,0
3069598558,0
3206652123,0
3281455937,0
3354925890,0
3427917002,0
3501755727,0
3577520015,0
3655421126,0
3738080055,0
3828946406,0
3930945871,0
3967435179,0
4196056512,0
4400549309,0
4910113224,2590128
5344211262,5688424
5077085897,3049192
4872249234,2276702
4686122119,1879588
4512287243,1606412
4350077609,1410764
4191440038,1264564
3964873101,1126420
3902835740,1049404
3762722465,961122
3629883344,889290
3502071936,826304
3379230103,770542
3259878188,720628
3145040409,675662
3034505719,634988
2927940175,597806
2825330623,563784
2726343425,532662
2579911230,494300
2540159594,477798
2451233217,453104
2365157950,430092
2282433772,408614
2202443311,388366
2125087109,369428
2050672655,351668
1979124082,337190
1909383195,320344
1842562096,305044
1743635931,284812
1717307416,278186
1656659267,268492
1598908803,254192
1542407010,241644
1488159420,233220
1436929555,224704
1386157396,211684
1336734133,202952
1290576612,198722
1245574258,185290
1177987116,175858
1160048708,174592
1119594072,161436
1080014370,162244
1041774709,150398
1006189313,144662
969714496,142382
935806386,130454
904139363,133258
870283638,119058
841818457,123546
794684537,107222
784120529,114284
755049656,100652
729199834,105912
703416082,92278
678767735,98404
654501632,84792
631741731,90988
609527939,78814
587889907,82706
567140738,75152
536575531,71052
528218951,74800
510171578,63324
491147059,69980
474827649,60426
456686931,59496
442133751,62966
425720309,51444
410258540,56188
397300698,53128
381278285,46230
369074638,51514
349491753,45278
342298113,41276
332004696,45978
319769718,41824
307087363,36322
297897659,39692
287218288,39940
275742696,31582
267127947,33148
258197601,37508
247529934,29446
234559006,27418
231936102,30186
222902724,32358
214286910,23838
207941916,24342
200416261,26738
192865208,27778
185545295,20210
179859647,20710
173049809,22138
167057107,25180
157636032,17650
155886538,17248
149954136,17908
144519351,20292
139473847,19692
134561513,14136
129845521,14408
124769640,14954
120532958,16900
116528265,17170
112626772,11534
106290467,11462
104184053,12014
100625227,12704
97378269,15252
94130028,11664
90570716,9248
86809647,9356
83621147,9596
80862246,10068
78412399,11946
76095346,10908
71565234,7026
69949899,7232
67421289,7302
65089026,7506
62980700,7902
61145324,9218
59352455,9374
56400308,5396
54187319,5412
52101598,5436
50286278,5528
48678085,5672
46241305,5826
45971520,6698
44562670,7990
42331262,4200
40608509,3882
39125197,3896
37716792,3914
36453816,3954
35301774,4028
34161519,4184
33413108,4472
31547020,5458
30846754,5170
29271956,2634
28192919,2626
27037664,2614
26170819,2622
25234479,2628
24407647,2658
23659624,2694
23048456,2760
22394815,2892
21148691,3096
20826046,4160
19962274,3282
19105371,1630
18275155,1626
17658538,1610
7111301,662
0,0
0,0
