final list,circular list
62767055,0
273162061,0
486379223,0
680840105,0
858596498,0
1021298005,0
1169796105,0
1305382590,0
1429464537,0
1541496642,0
1644385454,0
1701412137,0
1819129180,0
1894879762,0
1963214553,0
2025456379,0
2080799852,0
2130291733,0
2174795313,0
2214649911,0
2250406896,0
2282430225,0
2265357159,0
2336222478,0
2360202502,0
2382315046,0
2403219920,0
2423871266,0
2445006085,0
2466739553,0
2490786379,0
2519319986,0
2554062896,0
2545595117,0
2658767963,0
2753724225,0
3034551454,1600752
3262054713,3472158
3060850498,1838283
2901299947,1355717
2756309583,1105546
2621671741,933337
2496674231,809690
2376444879,716977
2220802365,630929
2159701585,580705
2057147569,525462
1960752878,480367
1869130188,441015
1782108475,406361
1698781153,375532
1619571125,347939
1544250552,323143
1472538060,300652
1404322620,280227
1339338859,261674
1252697549,240011
1219139905,229317
1162915185,214961
1109211795,201704
1058190279,189443
1009490387,178007
963001473,167409
918798999,157564
876784062,149380
836430706,140330
798175444,132141
746953947,122010
727562997,117857
694166069,112502
662651122,105347
632288187,99058
603454458,94571
576413283,90138
550097129,84006
524838211,79684
501352764,77197
478778344,71222
448060966,66889
436647877,65717
417062907,60136
398184256,59816
380163232,54883
363451434,52254
346744888,50912
331269357,46179
316876331,46703
301998647,41314
289256739,42451
270403503,36483
264231795,38511
251996910,33592
241055499,35011
230339000,30217
220188992,31921
210348553,27251
201167832,28973
192326538,24868
183825331,25861
175752608,23289
164809379,21823
160821623,22773
153980654,19112
146967634,20940
140879574,17928
134361528,17504
129002355,18371
123197000,14887
117763382,16128
113134447,15128
107717798,13060
103461181,14440
97222546,12595
94504272,11395
90982775,12599
86990651,11377
82941315,9810
79892210,10644
76495113,10637
72940218,8354
70191144,8710
67402352,9791
64205429,7637
60461669,7067
59421652,7733
56768319,8240
54258552,6035
52355922,6128
50185593,6695
48039146,6918
45979212,5008
44349874,5106
42467417,5432
40809090,6151
38338764,4292
37754409,4177
36172807,4319
34730040,4876
33398048,4715
32114008,3373
30891943,3427
29598798,3547
28518286,3998
27504910,4052
26527381,2716
24988315,2694
24454224,2819
23588135,2978
22804015,3571
22027893,2729
21186822,2163
20305891,2188
19565653,2245
18932237,2357
18377164,2799
17858930,2560
16825800,1651
16482261,1704
15928327,1725
15424804,1778
14978285,1879
14600698,2201
14237300,2248
13598226,1300
13138772,1312
12712208,1326
12353833,1358
12049010,1403
11540166,1453
11575764,1686
11330347,2031
10876672,1079
10553271,1008
10293359,1024
10055094,1043
9858093,1069
9694443,1106
9537865,1168
9496571,1271
9139735,1581
9123163,1529
8851877,796
8732053,813
8593084,830
8552372,856
8498153,885
8491563,924
8526807,970
8630921,1033
8743350,1129
8641647,1265
8945360,1786
9058416,1489
9212262,785
9427370,838
9824441,895
4308823,401
0,0
0,0
