final list,circular list
254478100,0
1081118576,0
1879108386,0
2567646841,0
3160690632,0
3669757304,0
4102760577,0
4468626035,0
4776048331,0
5026733593,0
5233395828,0
5284632018,0
5514199977,0
5605349996,0
5667338929,0
5705750453,0
5719876267,0
5714124733,0
5692080891,0
5655713480,0
5607386289,0
5548829437,0
5373189812,0
5406153651,0
5328304687,0
5246761727,0
5163267738,0
5080028304,0
4998598947,0
4919144446,0
4844920920,0
4779729498,0
4726144892,0
4594156072,0
4679755576,0
4726881014,0
5079783724,2679631
5325044852,5668023
4872368200,2926243
4503405167,2104349
4171680742,1673247
3868834371,1377337
3592248245,1164994
3333638710,1005764
3037179792,862862
2879435932,774230
2673715967,682954
2484229348,608615
2308394439,544659
2145303093,489178
1993233613,440624
1852119469,397898
1721141848,360159
1599472728,326569
1486516911,296629
1381551489,269922
1259149258,241248
1194041417,224596
1109759720,205136
1031312806,187539
958549142,171605
890854696,157088
827875077,143919
769432185,131949
715208996,121853
664567315,111497
617666364,102257
562954851,91955
534012887,86505
496161227,80412
461210578,73323
428509538,67133
398196004,62404
370312911,57909
344058158,52542
319558436,48518
297149482,45755
276214674,41089
251595924,37560
238630099,35915
221817356,31984
206086909,30959
191461130,27641
178103496,25606
165318924,24274
153656389,21420
142983503,21074
132555365,18134
123492582,18124
112280187,15149
106703122,15552
98959104,13192
92047657,13369
85519353,11219
79480253,11523
73813317,9563
68619806,9883
63766044,8245
59234919,8333
55037485,7293
50151570,6641
47550335,6734
44232532,5490
41013141,5844
38188572,4860
35375447,4609
32985491,4698
30590008,3696
28392184,3889
26481735,3541
24476826,2968
22819871,3185
20812385,2696
19632489,2367
18340071,2540
17012967,2225
15735864,1861
14702178,1959
13652514,1898
12623811,1446
11778547,1462
10965048,1593
10124463,1204
9240220,1080
8800037,1145
8145495,1182
7541950,839
7048813,825
6543240,873
6064566,873
5619294,612
5246280,604
4861550,622
4520168,681
4108005,460
3912642,433
3624982,433
3364801,472
3127606,442
2906204,305
2700960,300
2499689,300
2325781,326
2165610,319
2015935,206
1832378,198
1729848,199
1609161,203
1499825,235
1396345,173
1294012,132
1194550,129
1108252,127
1032177,129
964004,147
901028,129
816147,80
768315,79
713239,77
663180,76
618041,78
577908,87
540282,85
494480,47
457563,46
423731,44
393890,43
367236,43
335991,42
321716,47
300359,54
274800,27
253897,24
235605,23
218750,23
203630,22
189925,22
177014,22
166753,22
151636,26
142803,24
130517,12
121071,11
111829,11
104253,10
96817,10
90192,10
84205,10
79006,9
73935,10
67247,10
63779,13
58880,10
54275,5
50003,4
46534,4
18049,2
0,0
0,0
