final list,circular list
1314590,0
7001752,0
13386713,0
19749587,0
26110901,0
32511772,0
47369821,0
46457929,0
64250013,0
60694990,0
81511537,0
90783396,0
100273116,0
109793470,0
119536735,0
129517675,0
163411469,0
150859850,0
188889591,0
173274110,0
215719806,0
230178864,0
280559909,0
261349244,0
277356093,0
336448089,0
357231999,0
331292527,0
451807832,0
426584059,0
452543319,0
541585448,0
513069316,0
616686481,0
664363877,0
723161931,0
834649063,415005
1051306617,1120912
1035808162,615702
930216123,434412
1034129828,416966
1135602960,405232
1032801419,335098
1136754255,343107
1137527129,322516
1139086832,305169
1140915255,291080
1144149459,280425
1250630663,295158
1252234557,285551
1254351797,277281
1257436504,270296
1364607826,285844
1366037820,278876
1368520122,273027
1371936000,268070
1480013262,283572
1481750926,278468
1484553512,274355
1488195267,270587
1597707111,285898
1599928895,281944
1603157595,278634
1607604371,275856
1718849172,292686
1721531917,289065
1725853922,285632
1837271386,300177
1840777190,298206
1844485707,299037
1957095289,311170
1959615861,307056
1963788738,308107
2078245309,324852
2081035173,317328
2192355817,332914
2088176136,321787
2204553643,327647
2317033067,345967
2320753819,349721
2326090284,335266
2440901174,366505
2444314402,353035
2452712301,352979
2566783295,376392
2682675639,374465
2689658655,396375
2688364339,367572
2812803378,412386
2811431716,379633
2935307129,427160
2935115026,391522
2944853646,428151
3176336957,417447
3068616637,445331
3299858053,427921
3193115155,460394
3427618894,443854
3430935133,483096
3437477369,455176
3558926513,472172
3679716033,519239
3689393469,458563
3803591113,542148
3818693213,484991
3930112818,511251
4066588583,578404
4065767916,491547
4185339941,572815
4325094364,578869
4310113537,522550
4449827959,619700
4579191055,595059
4679747988,563822
4713025345,653073
4831881581,632210
4935671231,584127
5088943894,678255
5095109356,709898
5314658143,609028
5344992972,663775
5483891145,797265
5577266189,664027
5596916297,654059
5872223098,765649
5977681084,864684
5967604449,663663
6253614111,732610
6257941355,835206
6493569712,934597
6486482470,706746
6770638901,780562
6764319103,864404
7023020260,1058408
7136070581,799000
7182678460,795401
7418705936,886740
7545958024,1060616
7804258955,1100502
7817864006,821388
8078460022,897250
8181714846,982009
8329850834,1166160
8607514974,1271280
8760249150,896909
8876122942,956417
8978626842,1034102
9252324929,1168736
9543877742,1496684
9701834187,1197367
9816568897,1002148
10018019405,1080042
10144239534,1163941
10434461244,1299058
10632103708,1616557
11091154404,1594321
11042866918,1085036
11359165970,1173184
11492748441,1248152
11771249697,1359137
12077623226,1514086
12302953167,1857716
12657240800,2003309
12866616010,1230020
12959934824,1294868
13190763390,1378125
13471829564,1480668
13794416857,1605213
14128953992,1781715
14681301169,2142280
14903348814,2669082
15084434472,1492070
15278540863,1460578
15540795337,1544386
15811830514,1638332
16253404198,1764061
16600203273,1893297
17067151539,2089669
17594992609,2356809
17984616133,3115266
18153307873,3021963
18275444780,1643953
18662762603,1739483
18840506966,1823476
19450534524,1946496
19729548558,2055931
20203425230,2196872
20725743337,2355706
21228072580,2542735
21954651001,2838770
22479751352,3292750
22792242792,4574064
23083002741,3773421
23467376243,2005045
23831954590,2116883
24172788149,2213094
10141339576,944024
0,0
0,0
