final list,gamma list
19828,231
13086,153
8948,105
10660,162
26152,520
17276,325
15734,294
11444,213
32348,1097
21014,687
19598,612
16702,492
21992,1014
34074,2057
23908,1293
20130,1034
20720,1024
21834,1646
40654,4335
25356,2395
25108,2199
22350,1878
23202,1884
36812,6305
37382,6675
32224,5032
28132,4143
22476,3197
26764,3705
37922,9716
49638,15034
40552,10743
31522,7901
32520,7884
30316,7210
28676,6742
154150,6394
137238,10645
47878,10155
45226,10019
43480,9605
46342,10268
49058,10577
50276,11751
57652,15795
42290,9800
33780,5870
40918,6149
38324,6006
35270,5623
33550,5433
32608,5368
35036,5909
36936,6553
43108,8144
40732,4998
36658,4556
32528,4199
30400,3966
28938,3828
29802,3977
28896,3865
28148,3796
27766,3765
29754,4055
33032,4556
32930,4560
25606,3441
24164,3242
23240,3113
32888,3370
39388,3437
31688,3196
30645,3263
28889,3112
29098,3153
26696,2933
27356,3013
28204,3123
28116,3105
30412,3253
31856,3404
24760,2843
23548,2746
23716,2771
23972,2818
23236,2731
22616,2676
22922,2695
22332,2612
22674,2651
22096,2611
21596,2571
22782,2723
21480,2582
22620,2710
21426,2540
22588,2667
22300,2677
22094,2634
22950,2669
25684,2804
25736,2756
21360,2573
20456,2497
20428,2532
20434,2538
19942,2481
20026,2474
20106,2481
19632,2438
19728,2455
19810,2470
19862,2485
19470,2445
19500,2456
19582,2463
19604,2472
19214,2425
19714,2493
19320,2448
19326,2452
19366,2453
18968,2391
19426,2436
19444,2426
19048,2362
19466,2396
19052,2335
19502,2387
19150,2353
19532,2417
19256,2387
19678,2435
19800,2437
19806,2395
21384,2504
22866,2578
19564,2507
18772,2432
30330,2603
85090,3225
58630,2919
48544,2835
43424,2756
40246,2721
38062,2668
36812,2670
35860,2692
34752,2594
33746,2548
33276,2545
32524,2534
32202,2556
31462,2530
31626,2594
30696,2571
30882,2604
30336,2590
30102,2516
29926,2497
29664,2465
29332,2449
29576,2474
29058,2425
28938,2422
28898,2416
28614,2431
28498,2415
28696,2452
28118,2411
28598,2460
27822,2426
28420,2451
27680,2438
28086,2442
27580,2400
27992,2406
27570,2393
27668,2396
27642,2379
27318,2378
27656,2389
27340,2378
27148,2355
27582,2418
27296,2396
26952,2438
27350,2428
26884,2455
27064,2490
27496,2452
26712,2514
26884,2542
27160,2476
26800,2545
11082,1065
0,0
0,0
