final list,gamma list,circular list
1134112,13152,0
1140178,13195,0
885560,10246,0
949064,12781,0
1877341,34246,0
1933192,33999,0
1617786,27654,0
1482926,26152,0
2538992,68435,0
2569955,72584,0
2149415,57515,0
2062214,55828,0
2360644,77848,0
3261566,147670,0
2890913,123055,0
2658458,114864,0
2670630,116239,0
2852573,144397,0
3491725,267148,0
3173463,232082,0
3184732,231589,0
3001187,203757,0
2937834,200429,0
3612813,386831,0
4077363,490389,0
3629595,421069,0
3531684,412010,0
3371344,393728,0
3150967,362056,0
3667587,574206,0
4478697,926534,0
4350067,848299,0
4114017,803080,0
3867491,734741,0
3719845,720508,0
3862861,759017,0
7986154,767919,1552662
8889220,825352,1917372
5813218,803347,729534
5364866,806709,568488
5076730,768863,489852
4914476,766642,444966
4885394,800994,421182
4761410,798656,421260
5283411,949353,499914
4573028,843063,342738
3906565,694520,223266
3907053,686633,214314
3635879,611247,207468
3543499,568896,202506
3295460,535560,195786
3325778,542492,199764
3383408,539183,204738
3430041,532025,223836
3666066,560258,278772
2981429,462862,144738
2668878,424171,115128
2584858,405225,112854
2464911,391017,111144
2380918,377717,109788
2332338,365267,108972
2262856,355108,109032
2166267,327508,109872
2082881,291786,110142
2153078,291563,118500
2209478,294266,135864
2318274,294664,169116
1910524,267344,72768
1807886,257834,61818
1850487,246239,60936
1752082,231826,60144
1687024,228446,59472
1551033,215019,58950
1495468,206337,58632
1475047,203798,58470
1355469,175417,57474
1366861,169204,59076
1345406,163473,60162
1355294,160397,62064
1319021,158940,65778
1320618,151718,74256
1426605,154218,103422
1237922,147173,55356
1071191,139753,30702
968624,125785,30240
928634,118590,29802
926227,118869,29424
886395,112968,29100
857864,108510,28176
838948,108440,28488
800219,99049,28224
740066,88789,27966
746022,90746,27882
743379,87842,27804
705434,85837,27822
684152,84511,27882
672652,86154,28116
662397,81168,28518
648855,75643,29184
622936,70542,30240
619975,66669,32046
661853,66069,34620
676123,64896,44412
678586,61707,55758
610234,63133,14268
523050,54984,12114
504577,53868,11892
502462,54743,11724
467071,51949,11544
454399,50023,11358
431508,48473,11178
407605,45135,11016
365889,37135,10872
356847,36548,10518
368028,37576,10578
355954,35243,10434
330409,34957,10296
323360,33829,10164
322061,34187,10056
309402,32885,9954
294750,32560,9858
291752,31760,9726
284392,30349,9672
269405,28850,9576
255493,28305,9540
246393,27991,9480
240170,27541,9270
240346,27879,9426
232133,26377,9432
232573,26505,9468
220804,24875,9492
222834,25597,9624
226243,25770,9744
217535,26716,9918
210576,24199,10182
201063,21094,10590
201934,20595,11190
211591,20678,12180
188217,18915,13968
193519,18144,19008
210470,18285,22164
200058,19134,2928
165153,15910,2712
152399,15720,2652
150761,16379,2610
142460,15003,2550
132949,13918,2508
125514,13587,2460
117083,11945,2424
106322,9027,2358
107355,9440,2322
100591,8592,2232
94009,8159,2238
96140,8451,2196
89975,7899,2148
86703,8038,2118
81632,7527,2082
81412,7530,2022
77745,6738,1992
74362,6214,1956
73462,6052,1920
70835,5749,1890
67318,5576,1848
65344,5515,1812
62103,5123,1746
62389,5235,1752
63100,5272,1722
61442,5219,1692
59942,5105,1662
55457,4866,1626
50135,4370,1584
50087,4288,1554
50126,4254,1524
47799,4040,1500
44998,3915,1476
45220,3859,1434
45113,3819,1422
44246,3653,1350
41419,3554,1362
40461,3453,1338
41386,3417,1320
38966,3317,1290
39007,3330,1272
37561,3208,1242
36816,3208,1218
35099,3024,1200
32462,2924,1170
31842,2884,1146
32708,2847,1134
30031,2763,1098
29912,2784,1074
31202,2790,1086
28978,2730,1050
28538,2674,1026
28311,2611,1002
27925,2606,996
10929,1020,384
0,0,0
0,0,0
