final lin 0.0,final lin 0.09,final lin 0.18,final lin 0.27,final lin 0.36,final lin 0.45,final lin 0.54,final lin 0.63,final lin 0.72,final lin 0.81,final lin 0.9,final lin 0.99
0,0,0,0,0,0,0,0,0,0,0,23123800
0,0,0,0,0,0,0,0,0,0,0,13810600
0,0,0,0,0,0,0,0,0,0,27860000,38645800
0,0,0,0,0,0,0,0,0,0,17910000,27024200
0,0,0,0,0,0,0,0,0,0,12616600,20576600
0,0,0,0,0,0,0,0,0,27581400,37849800,45013800
0,0,0,0,0,0,0,0,0,18268200,27103800,33631000
0,0,0,0,0,0,0,0,19223400,42745200,57670200,69331600
0,0,0,0,0,0,0,0,28377400,37491600,44018800,49272400
0,0,0,0,0,0,0,0,15283200,23362600,29452000,34427000
0,0,0,0,0,0,0,18905000,40914400,55043400,66028200,75182200
0,0,0,0,0,0,0,32238000,41113400,47401800,52416600,56675200
0,0,0,0,0,0,0,28735600,44058600,55521000,64874000,72834000
0,0,0,0,0,0,22805400,42785000,55879200,66107800,74625000,82027800
0,0,0,0,0,0,26705800,35103600,41073600,45849600,49869400,53371800
0,0,0,0,0,0,28536600,43342200,54366800,63282000,70844000,77490600
0,0,0,0,0,12616600,33073800,46048600,56038400,64277000,71361400,77610000
0,0,0,0,0,49073400,65829200,77450800,86644600,94326000,101052200,106982400
0,0,0,0,0,28457000,42864600,53451400,61968600,69212200,75540400,81112400
0,0,0,0,0,21054200,33949400,43700400,51700200,58545800,64515800,69849000
0,0,0,0,45212800,62685000,74386200,83460600,90982800,97470200,103161600,108256000
0,0,0,0,39561200,54844400,65630200,74187200,81271600,87440600,92893200,97748800
0,0,0,0,36337400,56317000,71043000,82983000,93012600,101728800,109450000,116375200
0,0,0,14129000,33073800,45053600,54167800,61570600,67938600,73431000,78326400,82744200
0,0,0,59381600,75978200,87082400,95679200,102763600,108813200,114066800,118803000,123061600
0,0,0,50784800,72714600,88117200,100216400,110285800,118922400,126444600,133170800,139300000
0,0,0,34546400,53929000,68137600,79440800,88833600,96952800,104116800,110524600,116295600
0,0,12377800,31641000,43541200,52416600,59580600,65590400,70804200,75381200,79480600,83221800
0,0,87122200,112594200,129270400,141926800,152195200,160871600,168393800,175000600,180930800,186343600
0,0,54008600,76615000,92057400,103997400,113708600,121947200,129111200,135479200,141170600,146265000
0,0,39481600,59978600,74426000,85689400,95002600,102883000,109728600,115778200,121230800,126166000
0,19860200,63043200,88077400,106146600,120395000,132136000,142165600,150921600,158642800,165568000,171856400
0,116972200,145230200,162702400,175518000,185667000,194064800,201228800,207517200,213089200,218064200,222601400
0,76057800,102047200,118643800,130862400,140533800,148613200,155578200,161627800,167000800,171776800,176194600
0,73868800,105907800,126842600,142404400,154861800,165209800,174085200,181806400,188652000,194781200,200393000
0,62366600,92415600,112275800,127161000,139021400,148891800,157329400,164811800,171418600,177348800,182801400
5970000,63401400,91938000,110962400,125250600,136673200,146185400,154384200,161548200,167876400,173567800,178702000
1990000,57670200,85172000,103480000,117211000,128195800,137389600,145270000,152155400,158205000,163657600,168592800
0,56516000,83341200,101092000,114345400,124972000,133847400,141369600,148016200,153906600,159160200,163936200
0,60575600,87082400,104355600,117211000,127519200,136036400,143319800,149687800,155379200,160473600,165130200
0,92813600,125768000,146941600,162583000,174960800,185269000,194104600,201865600,208711200,214880200,220452200
0,121270600,147976400,164652600,176791600,186502800,194502600,201348200,207318200,212611600,217387600,221725800
0,48158000,82465600,102962600,117847800,129588800,139260200,147459000,154662800,161070600,166801800,172015600
0,0,35979200,56277200,70883800,82306400,91739000,99778600,106743600,112912600,118524400,123579000
0,0,47441600,71759400,88833600,102166600,113032000,122305400,130305200,137469200,143916800,149767400
0,0,46406800,66824200,80873600,91659400,100534800,107977400,114504600,120235800,125370000,130026600
0,0,86127200,111042000,127559000,140215400,150563400,159359200,166961000,173647400,179697000,185109800
0,0,79998000,105509800,121907400,134245400,144195400,152633000,159916400,166324200,172174800,177428400
0,0,0,26586400,42864600,55003600,64834200,73033000,80157200,86366000,91938000,96992600
0,0,0,28138600,44377000,56277200,65789400,73709600,80555200,86604800,92017600,96793600
0,0,0,36098600,55083200,68734600,79600000,88674400,96475200,103320800,109489800,114982200
0,0,0,35820000,52177800,63680000,72754400,80276600,86764000,92455400,97549800,102087000
0,0,0,66267000,88395800,103599400,115499600,125409800,133688200,141011400,147498800,153349400
0,0,0,82266600,102126800,115221000,125330200,133688200,140772600,147021200,152553400,157528400
0,0,0,5014800,28337600,43222800,54565800,63759600,71600200,78525400,84614800,90107200
0,0,0,0,24556600,39362200,50386800,59421400,67102800,73709600,79639800,84933200
0,0,0,0,26188400,40954200,51779800,60655200,68137600,74664800,80396000,85570000
0,0,0,0,28775400,43620800,54366800,62963600,70207200,76495600,82107400,87082400
0,0,0,0,37650800,54366800,66346600,75819000,83739200,90664400,96714000,102126800
0,0,0,0,50983800,67938600,79679600,88953000,96714000,103400400,109251000,114504600
0,0,0,0,82465600,101649200,114584200,124653600,133011600,140175600,146503800,152155400
0,0,0,0,6129200,25790400,38645800,48516200,56794600,63799400,69928600,75421000
0,0,0,0,0,20377600,33073800,42745200,50665400,57471200,63361600,68655000
0,0,0,0,0,23442200,37332400,47720200,56237400,63520800,69809200,75421000
0,0,0,0,0,25193400,39043800,49352000,57670200,64714800,70804200,76416000
0,0,0,0,0,30327600,45372000,56317000,65152600,72595200,79162200,84853600
0,0,0,0,0,35541400,50665400,61491000,70048000,77331400,83580000,89191800
0,0,0,0,0,47600800,62764600,73391200,81789000,88833600,95002600,100415400
0,0,0,0,0,78326400,95002600,106266000,115181200,122663600,129031600,134723000
0,0,0,0,0,9154000,26069000,37292600,45969000,53212600,59461200,64993400
0,0,0,0,0,0,18626400,30526600,39640800,47202800,53769800,59540800
0,0,0,0,0,0,20656200,33272800,42944200,50864400,57630400,63600400
0,0,0,0,0,0,21531800,34029000,43541200,51302200,57909000,63719800
0,0,0,0,0,0,24397400,37650800,47441600,55441400,62326800,68336600
0,0,0,0,0,0,26467000,39640800,49272400,57113000,63799400,69610200
0,0,0,0,0,0,31879800,45809800,55799600,63879000,70684800,76694600
0,0,0,0,0,0,39083600,53053400,62884000,70764400,77371200,83182000
0,0,0,0,0,0,69291800,84137200,94445400,102604400,109569400,115459800
0,0,0,0,0,0,46088400,61769600,72396200,80794000,87838600,93928000
0,0,0,0,0,0,0,16716000,27621200,36297600,43501400,49750000
0,0,0,0,0,0,0,17074200,27939600,36496600,43421800,49431600
0,0,0,0,0,0,0,18308000,29531600,38168200,45292400,51421600
0,0,0,0,0,0,0,19502000,31123600,39919400,47202800,53371800
0,0,0,0,0,0,0,21531800,33511600,42546200,49869400,56157800
0,0,0,0,0,0,0,22725800,34586200,43382000,50506200,56595600
0,0,0,0,0,0,0,26108800,38924400,48277400,55879200,62326800
0,0,0,0,0,0,0,28616200,41232800,50506200,57869200,64197400
0,0,0,0,0,0,0,34626000,47640600,57073200,64635200,70963400
0,0,0,0,0,0,0,49153000,63162600,72873800,80794000,87321200
0,0,0,0,0,0,0,80435800,94445400,104077000,111678800,118086600
0,0,0,0,0,0,0,16158800,31044000,41113400,49113200,55759800
0,0,0,0,0,0,0,0,15442400,25631200,33631000,40397000
0,0,0,0,0,0,0,0,15482200,25551600,33352400,39800000
0,0,0,0,0,0,0,0,17153800,27899800,36178200,43183000
0,0,0,0,0,0,0,0,17352800,27939600,36019000,42745200
0,0,0,0,0,0,0,0,18785600,29889800,38208000,45133200
0,0,0,0,0,0,0,0,19900000,31044000,39402000,46247600
0,0,0,0,0,0,0,0,20934800,32158400,40556200,47481400
0,0,0,0,0,0,0,0,22686000,34267800,42864600,49909200
0,0,0,0,0,0,0,0,24835200,36536400,45133200,52098200
0,0,0,0,0,0,0,0,27820200,39879600,48675400,55799600
0,0,0,0,0,0,0,0,32397200,44934200,53889200,61132800
0,0,0,0,0,0,0,0,38765200,51381800,60297000,67421200
0,0,0,0,0,0,0,0,57272200,70525600,79878600,87241600
0,0,0,0,0,0,0,0,85530200,98903000,108057000,115499600
0,0,0,0,0,0,0,0,6805800,20616400,30088800,37491600
0,0,0,0,0,0,0,0,0,13890200,23243200,30526600
0,0,0,0,0,0,0,0,0,14606600,24278000,31800200
0,0,0,0,0,0,0,0,0,15402600,25273000,33034000
0,0,0,0,0,0,0,0,0,15561800,25352600,32954400
0,0,0,0,0,0,0,0,0,16318000,26427200,34108600
0,0,0,0,0,0,0,0,0,16755800,26865000,34626000
0,0,0,0,0,0,0,0,0,17432400,27661000,35461800
0,0,0,0,0,0,0,0,0,18308000,28735600,36576200
0,0,0,0,0,0,0,0,0,19342800,29969400,38128400
0,0,0,0,0,0,0,0,0,20417400,31163400,39123400
0,0,0,0,0,0,0,0,0,21173600,32198200,40516400
0,0,0,0,0,0,0,0,0,23004400,34148400,42227800
0,0,0,0,0,0,0,0,0,24397400,35581200,43780000
0,0,0,0,0,0,0,0,0,26785400,38327400,46924200
0,0,0,0,0,0,0,0,0,29452000,41113400,49511200
0,0,0,0,0,0,0,0,0,33432000,45372000,53849400
0,0,0,0,0,0,0,0,0,38884600,50944000,59461200
