final lin 0.0,final lin 0.09,final lin 0.18,final lin 0.27,final lin 0.36,final lin 0.45,final lin 0.54,final lin 0.63,final lin 0.72,final lin 0.81,final lin 0.9,final lin 0.99
0,0,0,0,0,0,0,0,0,0,0,30667691
0,0,0,0,0,0,0,0,0,0,0,31474636
0,0,0,0,0,0,0,0,0,0,16787640,42262227
0,0,0,0,0,0,0,0,0,0,35372250,62790072
0,0,0,0,0,0,0,0,0,1934280,27881094,52094021
0,0,0,0,0,0,0,0,0,30285014,57161954,80419283
0,0,0,0,0,0,0,0,0,35196334,64268642,92981556
0,0,0,0,0,0,0,0,8059898,34163723,57055290,82702211
0,0,0,0,0,0,0,0,39528365,69233891,97085334,123410049
0,0,0,0,0,0,0,0,26142630,48447943,75197921,95638604
0,0,0,0,0,0,0,13378173,44842262,72062875,98149586,121278560
0,0,0,0,0,0,0,39061511,65732486,97205132,120623452,143565764
0,0,0,0,0,0,0,31476427,58779227,85254187,108735192,130863196
0,0,0,0,0,0,14008804,43002706,72144067,95321000,117902724,142430071
0,0,0,0,0,0,38489187,64947630,93239261,116975981,140319875,166787074
0,0,0,0,0,0,31910645,60633509,84825740,108314506,133292986,155129256
0,0,0,0,0,8546851,40856491,72368340,100279284,128675390,156981349,179614017
0,0,0,0,0,37822139,66171679,93023346,118762006,140979162,161784015,180879657
0,0,0,0,0,38173573,69392096,98666787,124874490,151814314,174781899,196231313
0,0,0,0,0,27938605,54298941,80561767,102211574,124310325,142147292,160839760
0,0,0,0,27850050,61667314,94625694,120352016,145479945,168230819,190987862,212730005
0,0,0,0,43153548,73165335,103728750,128747826,155533823,177469195,200085346,222054150
0,0,0,0,40251929,77289610,108066353,137192192,166174552,195758489,221800425,246831640
0,0,0,6658540,40226855,72940067,98246698,126113862,151069059,174076643,196940748,218869553
0,0,0,43869948,75502192,104926730,133572979,160714987,184627822,204670107,226561699,247325558
0,0,0,45343543,82576045,114871954,144135899,171660186,195982364,220072508,243770821,267366848
0,0,0,40668436,77588508,110202817,139254230,165977542,189214772,212958855,235012433,255531124
0,0,7903882,42890669,76588533,102247792,128271221,150133958,169967492,190607374,209124523,225550580
0,0,60949322,103123392,140429126,172363651,205424317,232927709,260192301,286797606,310058318,330216222
0,0,48809526,88647137,120857277,153026622,181025922,207159597,234879899,256511995,275368439,295194212
0,0,44790522,84598084,116951305,148962246,174462504,200339668,225663811,247503862,265606096,284275480
0,5782144,54781715,98600122,133600640,165706106,193410687,218778411,243143573,266879298,288652485,309398036
0,63047180,105528307,139538800,168723941,195452427,220241658,245642416,266645274,286063893,307360873,326312439
0,72271228,121813074,161501435,200968707,232980046,259494010,285377940,307721660,331315697,356480640,378701577
0,65667015,119629248,156793891,192918560,222219121,249918528,274452243,296489901,318137917,341515641,360451685
0,65309611,112263462,151447955,183046369,210556925,244211009,270932928,294084389,313584996,333905483,353514147
19717318,89927105,138066001,178619216,210555134,238625875,264548809,289223615,310602384,332496762,351149430,371493598
30024722,116445447,173478051,219188948,256943029,291839072,318910435,343328133,367728518,391622647,410945746,430999374
12458594,100911308,157036671,203738986,238132952,272623433,298654225,322414626,346290447,367443948,387367828,405565383
8898882,87449953,137370695,178148382,209952960,237174568,260892383,281563707,306527461,325554846,342762376,358325171
8718588,101266125,155626756,197678640,238423094,269561221,298440499,321788771,346625165,368026023,385784385,406244172
9012710,140218385,202843884,248509807,291149537,323960856,354014234,386883064,410512921,436353469,457584779,478832606
9074798,104206151,158625885,198975921,234545181,266383987,291294409,317539325,337402112,357635039,376284722,393320515
7455336,85231501,144812897,188751500,225180440,259940367,288699648,313794344,336006127,356458352,376305418,396507699
5052610,74603508,136059484,180620758,219078304,251578387,280973871,303856085,324610193,343767525,361940006,380323427
