final lin 0.0,final lin 0.09,final lin 0.18,final lin 0.27,final lin 0.36,final lin 0.45,final lin 0.54,final lin 0.63,final lin 0.72,final lin 0.81,final lin 0.9,final lin 0.99
0,0,0,0,0,0,0,0,0,0,0,4410636
0,0,0,0,0,0,0,0,0,0,0,6211188
0,0,0,0,0,0,0,0,0,0,1609313,7077634
0,0,0,0,0,0,0,0,0,0,5042262,11363696
0,0,0,0,0,0,0,0,0,0,4391731,9973880
0,0,0,0,0,0,0,0,0,1809905,6266510,10515956
0,0,0,0,0,0,0,0,0,2725305,6591278,10822814
0,0,0,0,0,0,0,0,588443,3273152,5836272,8908434
0,0,0,0,0,0,0,0,7735130,12448047,15865474,19165889
0,0,0,0,0,0,0,0,6315464,10244520,13915473,16506254
0,0,0,0,0,0,0,1506231,7494937,14472474,20131238,24461279
0,0,0,0,0,0,0,4379393,9625630,14766596,21183948,25057483
0,0,0,0,0,0,0,4810427,9745826,15611550,20166063,24882164
0,0,0,0,0,0,2692669,7877017,11760104,17159969,20997485,24742665
0,0,0,0,0,0,9403944,17088130,20460185,24671423,28064572,31697118
0,0,0,0,0,0,5876868,14699334,17715975,21981142,25053901,29651796
0,0,0,0,0,643168,7763786,19143402,22327999,27787365,31060119,35307575
0,0,0,0,0,4738986,12296210,19267976,21770998,25521352,28109546,32566151
0,0,0,0,0,7381706,14238450,20923457,23687567,27563689,30373967,37399065
0,0,0,0,0,5634088,10294071,15288573,18908383,22521626,25070617,29503342
0,0,0,0,1839158,10975447,17059872,23004798,28943555,34412075,38813955,43273744
0,0,0,0,6938334,14230888,20110542,25983629,32426652,37695376,42591373,46583512
0,0,0,0,6014775,12306558,19045295,24717790,32109247,36899774,44215611,48369338
0,0,0,721773,7338523,13238674,18137457,23116636,28907536,32631423,37830696,42174667
0,0,0,5749508,11890449,17571899,21942337,28123874,33772887,37197279,43938205,50836938
0,0,0,8065470,14165616,22093975,27207479,32951813,38824701,42453466,53428515,61034693
0,0,0,8621277,14054176,23748063,29112307,34195165,40240387,45676868,54273668,61037280
0,0,654710,7345687,12415809,19002908,23755824,27853632,32346057,38520430,45459361,50320334
0,0,10753562,19996913,30254766,37324440,43258819,48160587,54887185,61814375,70882407,76447442
0,0,12235913,19830549,30103924,36377598,40904052,47201805,52384163,58314761,64826041,69319859
0,0,9757368,16716796,24395609,30679034,35858009,43680102,50294265,55189864,61006833,65172699
0,476804,10055669,16557397,23989052,30014374,35427373,42053078,48513414,53442246,59403888,63771142
0,7741498,16141885,22090393,28056214,34301630,40757588,45984920,51061808,55943676,60837683,64480776
0,11869952,21369814,28894203,35084297,44056411,50996138,56419883,64158396,69974370,75111555,78977727
0,9810302,18627594,27749356,34814652,42501425,49772089,54962606,62828877,67663184,72735495,76387344
0,8942463,17162556,24794803,31950843,39362001,46817138,53977357,60435504,64839175,71439010,74898625
690132,12140194,20153327,26711372,35592742,42687490,49085141,55582292,61346924,65441747,71014742,74306600
1943633,17530507,26096263,32742863,41062854,48072032,54579531,60794301,66690074,70958226,76457392,79936509
1068033,16067459,24587843,30774554,39427273,45436078,52529234,58243320,63733730,67747759,72809921,77188916
739086,15215938,23591848,28866741,40046959,45026138,50699827,55539706,60204664,63635424,67904571,73253293
693316,15462101,25090318,30704108,43587169,48779676,54412371,59516721,64442568,68073920,72557987,77108520
664660,20666946,31146087,37090615,47379910,52774004,58487692,63820892,68962654,72763952,77421945,81826014
541280,18743213,28096412,34092282,42404910,47076236,51953129,56573909,61028922,65137078,69155883,72835393
543867,16178103,26617046,35380409,44206059,49123150,54211978,59064195,63752237,70408787,74614652,78394657
501480,14426704,25563938,35438915,44715499,49436973,54298344,58916537,63402594,68582365,72591220,76145957
466655,13460957,27093850,37667516,48518787,53077081,57750994,62156456,66458438,71069467,74900018,78260133
437999,13041664,29871293,37418567,45309912,49725523,54249987,58453066,62576943,66863403,70531968,73731888
414517,13010819,32813508,41097082,46364015,50655848,55062902,59076334,63039021,67095835,70615747,73666019
428447,12308946,30152679,39011960,44419586,49133896,55011361,59190361,63335133,67548361,71232448,74408488
407154,12582770,28369639,37593289,42737638,48177502,55007978,59003301,63859896,67883477,71413936,74447094
389045,12443072,23867662,35655029,41284739,46419934,53424535,57246131,63375729,67235931,70626294,73529903
372926,9880549,19564088,31072258,37539758,43581000,49043749,52712314,59736815,64192027,67456622,70242224
386657,10680330,21313497,32399190,38772563,45864724,51151358,54970964,61367222,67313541,70715247,73611294
371533,11094250,20107756,33972882,39817711,46103126,50780820,54446798,60222972,65093696,68365455,71143296
358001,10029401,18735452,30396852,36098003,42116559,46545304,50078947,55574133,60005664,63160212,65827807
345066,10248699,19279319,28894004,35196931,41226233,45482644,48896091,54291379,58421624,61462941,64029046
359394,10404317,19874727,30103725,36490829,43937210,48370731,51921687,57937258,62118049,65278169,70955440
346857,9816073,18740626,27557520,35341007,43512345,47987457,51419610,58609679,62557242,65601743,71245582
336708,9160567,19272155,27366679,37756469,44967632,50122528,53450803,57798953,61803032,64746242,69060761
326360,9035396,17176486,25133899,34009697,40285560,44976388,48211133,51576422,56781068,59622191,63446971
339096,9062261,16432425,25226633,35769056,41918355,46701917,50068002,53534582,58239937,61181356,64936486
329345,9439963,17170516,25544834,35182205,41636969,47068873,50357348,53697961,57934671,60775595,64274811
320191,9373895,16381879,23703288,33094098,39016935,44441874,48689728,51910941,55880195,59018823,62305905
311833,8786248,15966168,23269667,32175713,37866317,43722290,47714429,50830172,54589481,59558312,62672662
324370,9138677,16677195,24568341,33896068,39936713,45621546,50331677,53545527,57375680,61602440,64759973
315614,6485410,14051589,22306308,29730003,36982558,42577244,47044794,50156159,53830097,57545626,60547342
307853,6477251,12204869,21569809,28229344,35367872,41540255,45582741,48603163,52141184,55582690,58454658
318997,6607397,12927836,21388918,28835697,36565653,42864202,46945493,50060639,53692787,57137875,60057404
312231,6141737,11077136,18665603,27564684,37745524,44699778,48628038,51651246,55167377,58436549,61232698
304669,5684236,9972885,16807540,24723959,33671596,40119395,43932235,46874848,50691867,53815769,56496100
314619,5429118,10144821,17727915,23369764,32773509,39272053,43204691,46235461,52093225,55267275,57995167
308450,6004825,11134249,18823609,22912860,30982708,37299764,41146235,44097206,50378243,53423739,56041385
301883,6607994,10617247,16742865,20778983,26424613,32855298,36634905,39515231,45064147,47998203,50516946
312231,5821546,9903633,15933532,20175814,25482746,34179444,38103724,41069023,46449187,49437570,52002680
304271,4947140,9059674,14820326,19069175,24286955,33370310,37227328,40384065,45645824,48527941,50989372
315614,5085445,9494290,14600232,19142407,24624857,32481178,36493018,40753210,46555851,49487917,51985964
294321,4661177,9009924,13147532,17801346,23153252,30753659,34539435,38028303,44729429,47426078,49716568
303674,4436108,9549413,13926418,18424614,24618290,34318943,38291182,41710997,45895967,48645152,50970666
313226,3619810,8342876,12999476,17444141,22682418,33980046,38187304,41619258,44928628,47723185,50080539
308251,2858436,7326185,12153129,16997187,21888209,30024523,34679730,37995468,41188821,43893828,46163622
302082,2982015,8051341,13468121,18322925,23707865,31338520,37157081,40848730,43943379,46568786,48765348
311833,3385587,8841968,14569785,19154148,24421280,28669134,33189220,37645626,40788035,43457023,45676669
310440,2485510,6838436,11111961,15227480,19473742,22880025,26450682,30370385,33422647,36014224,38159046
302878,2364717,6571378,10811073,15310662,19621997,23009375,26520133,30270885,33242950,35759703,37832885
311037,2439143,7429267,11122110,16709632,21382749,24976888,28660577,32503267,35533639,38088202,40187453
319594,2506604,5957662,9834580,14936542,20302378,24289343,29577370,33577668,36667939,39256332,41370906
315017,2474565,5901743,9844729,13434888,19086488,23251956,29327625,33835174,36852014,39368966,41407721
311037,2445909,6084624,10161935,13484041,18759929,22895547,28641274,33788011,36744952,39195438,41173299
319793,2523718,6881619,11428371,14984700,19736024,23819902,29710899,36357499,39388070,41871192,43863978
316410,2499639,6729185,11903981,14235465,19305587,22565207,29237080,34565902,37554285,39970941,41900246
325564,2585209,7165194,12029550,14470484,18869777,21817962,29032309,34007110,37092207,39537121,41474983
322181,2570682,6909280,12168054,14644410,18302030,20563665,26568689,29666124,32759778,35140614,37018577
318997,2564712,6954652,11025595,13565034,16794008,18938830,24419887,27252851,30420533,32740873,34558141
339892,2768090,6871271,9472201,12334020,14745303,17051912,22309293,25278572,28956092,31392847,33288919
326559,2689286,6350687,8848933,11870947,13921443,16153029,20828932,23637220,27425782,29713088,31480805
346260,2932464,4731822,7436829,11596526,13774581,16214122,20622569,23593639,28026563,30419538,32260487
333723,2934852,4525857,7191661,10232978,12318896,14811371,18791172,21636872,25166535,27422996,29147729
355812,3517325,5647620,8684559,10970870,13195889,16116811,20647643,23829056,27265786,30351878,32140689
355016,3446680,5177184,8447152,10176661,12398098,14883409,19203102,23704482,26948381,30950271,32681173
354618,3155543,4700778,7488569,9231013,11453047,13525632,18028007,21934974,25041762,28248050,29927013
365961,2580433,4500584,7251759,9075395,11404491,13292006,18332278,21299169,24408544,27443891,29123053
378697,2362130,3878112,6129200,8058903,10537050,12482474,15787068,18892264,22463319,25419464,27100019
380289,2375662,3060819,5307728,7331956,10076962,12025570,15055743,18641922,22426902,25253100,26884104
395015,2476953,3078530,5395288,7762393,10200143,12233127,15629460,19484289,22998231,25809106,27437523
398398,2531081,3126887,5456978,7979104,10229396,12314319,15459116,20950521,24319591,27038727,28615404
415711,2700430,3311957,5734782,8164771,10614262,12868733,15584685,20225763,23608166,26333272,27911342
435412,3034949,3660605,6202233,7833834,10607894,13318473,15855325,19951143,23427872,26158749,27735227
443770,3349767,3973632,6630680,7905673,10163527,12345562,14861519,19049076,23270264,25935869,27462398
469043,2661227,3303201,6344518,7652346,10228401,12257007,14840226,17764929,21884030,24572321,26096263
498097,3133852,3795527,6316061,7665281,9964925,12316707,14984501,17814679,21977560,24693313,26213474
519191,2436158,3102012,5525036,6882813,8956791,10786397,13493593,16250539,21317278,23993629,25466229
561777,2345215,3036541,5602447,7022909,9495285,11433744,14335164,17119970,22386107,25104447,26573863
621477,2625009,3348175,6192084,7690753,10319543,12365462,15689359,18525308,21867115,24657095,26118153
699286,3255242,4019999,7175741,8808337,10357751,12081290,14970173,17878757,21188525,24081388,25534486
802965,2926693,3728066,6341135,8325961,9905424,11904777,14357850,17304443,20555506,23567570,24980470
1036193,2173080,3063605,6157060,7993233,9705031,11096439,13647420,16817490,20141984,23514437,24915596
1828213,2878137,3971642,6444416,7555632,9549811,10832764,13531005,17109025,20611823,24003778,25401753
808338,1865227,3341210,5691997,6828685,8228451,9536876,12477300,15584287,20128054,23037434,24418693
0,1039775,1560956,4034526,5170020,6452973,7773935,11369865,14032485,17537074,20151138,21497373
0,1070620,1498868,4355115,5548717,6878435,8266858,11461007,14460932,17397177,19979202,21345735
0,1052710,1479167,4844655,6043630,7361010,8786845,10951965,13731995,16983058,19475931,20799480
0,1059874,1494689,4160095,5401258,6737145,8364169,10746398,13532199,17326532,19807266,21125044
0,1067436,1512201,4749135,6031690,7387875,8991616,11671151,14152084,17668812,20169446,21470309
0,1051118,1498868,4531628,5843436,7196039,8339294,10189994,12792516,16523169,19009077,20272926
0,1079376,1552200,4113529,5522051,6931568,8115419,9997760,12956691,16926343,19521900,20808037
0,1084351,1575682,4291634,5793686,7237630,8433620,10369293,12883857,16716995,19340611,21053006
0,1068232,1572697,2615258,4224173,5691002,6880823,8850923,11431754,15119224,17613888,25820250
0,1095893,1644138,2641725,4578990,6152682,7382502,9488320,12458594,15943482,18373471,24570530
0,1081167,1673391,2684510,5078082,6845799,8070644,10293872,14074872,17303050,19596326,24176112
0,1109226,1825029,2888684,4352926,6085022,7351060,10030794,12881668,16227057,18505010,22552670
0,1093704,2141439,3232357,4557498,5881843,7147682,10043530,12612023,16165964,18371879,21989500
0,1120768,1626825,2806895,4411233,5818561,7144299,8805750,11084698,14564611,16781869,20203077
0,1105644,1341857,2598940,4608243,6075271,7392054,8980472,10836147,14135169,16307453,19477324
0,1133703,1373697,2907987,4808835,6545906,7916419,9578467,11082907,15022908,17226435,20302179
0,1139076,1378274,3152757,4405661,6298549,7717618,9446331,10999327,14418744,16621873,19570257
0,1127733,1361757,2241735,2884903,3925673,5350115,7141513,8340687,11213053,13388123,16181884
0,1155792,1393796,2303624,2668988,3721499,5224347,7191661,8420088,10783810,13155492,15913831
0,1165543,1403149,2365911,2735852,3797318,5369418,7703489,8959378,11450062,14325612,16987635
0,1194000,1434790,2500236,2875749,3964279,5667719,7499116,8814307,10950373,13633888,16267653
0,1186239,1422253,2694261,3066789,4149548,6072286,7828262,9179472,11233351,13819555,16350039
0,1219671,1457874,2856247,3237531,4351931,6308300,8343871,9789805,11886867,14512473,17021863
0,1234397,1471804,2247108,2632173,3761100,5460958,7965373,9567124,11677917,14336358,16778884
0,1253302,1490311,2315564,2704211,3859406,5871694,7373348,9339866,11481305,14208202,16600978
