final lin 0.0,final lin 0.09,final lin 0.18,final lin 0.27,final lin 0.36,final lin 0.45,final lin 0.54,final lin 0.63,final lin 0.72,final lin 0.81,final lin 0.9,final lin 0.99
0,0,0,0,0,0,0,0,0,0,0,1798839406
0,0,0,0,0,0,0,0,0,0,0,2582120918
0,0,0,0,0,0,0,0,0,0,823037732,3454257323
0,0,0,0,0,0,0,0,0,0,2631250436,5246634403
0,0,0,0,0,0,0,0,0,62835245,2742896202,5357373525
0,0,0,0,0,0,0,0,0,1912534275,4547335070,7123392856
0,0,0,0,0,0,0,0,0,2822376205,5469925537,8090940806
0,0,0,0,0,0,0,0,353549569,3176125371,5784926219,8334957989
0,0,0,0,0,0,0,0,2512553503,5294924937,7890401939,10436373910
0,0,0,0,0,0,0,0,2975227309,5705484424,8252360452,10804357347
0,0,0,0,0,0,0,579664513,3472142846,6196941590,8792813408,11292806230
0,0,0,0,0,0,0,2717800511,5587976914,8262492139,10835066430,13364062507
0,0,0,0,0,0,0,2980848661,5742017839,8368297454,10890599171,13357517397
0,0,0,0,0,0,555060551,3478224485,6256776711,8888489424,11427504753,13854835511
0,0,0,0,0,0,2808889577,5725840532,8502559371,11161242952,13705185123,16088699663
0,0,0,0,0,0,3140483476,6055754871,8796809925,11440531293,13941902190,16321680505
0,0,0,0,0,269794051,3443507343,6388027161,9110952917,11708087589,14168322997,16555371578
0,0,0,0,0,2634926563,5710845285,8605672216,11265590393,13858548851,16286997591,18607109338
0,0,0,0,0,3329048314,6420517294,9305474820,11985206631,14579974795,17026110257,19383529927
0,0,0,0,0,3360526134,6423885767,9310680859,12023544180,14607054317,17037124111,19392932478
0,0,0,0,1661641443,4981979328,7981575779,10864964190,13542166910,16084097589,18482091568,20799903671
0,0,0,0,3573882591,6850344160,9864605717,12658910385,15300049330,17781667288,20156570700,22438659915
0,0,0,0,3601657618,6837766763,9864570693,12670859937,15287452232,17778077527,20105926792,22353608907
0,0,0,244901539,3883766187,7142317756,10154208427,12923083482,15552159644,18034078490,20349523687,22627828121
0,0,0,3070909295,6664260852,9901887372,12908304349,15696084603,18344234318,20795642882,23153514879,25452734412
0,0,0,3971986071,7496856753,10720607003,13706225495,16462321367,19107887863,21521478666,23874773862,26106927012
0,0,0,3943842695,7431169838,10625702709,13546101339,16269627080,18869925852,21258276689,23555689700,25722319911
0,0,416493468,4403634185,7912238209,11087484199,14027050907,16729649211,19297543221,21692576478,24004883047,26190967299
0,0,3814177678,7862879045,11395524458,14546500408,17483922692,20221499624,22780830266,25170629425,27453622498,29601053388
0,0,4865389805,8930268877,12485940779,15668492457,18619867427,21355285607,23915144395,26289891990,28542226526,30710028449
0,0,4900049635,8932915378,12481261692,15695714662,18613430374,21309837589,23833814886,26218305720,28463221735,30612638446
0,142905880,4999927735,8961922016,12497882570,15679228905,18574303591,21239173684,23739209490,26086003157,28314473414,30444315888
0,4363230618,9235132300,13232767282,16773392595,19964459284,22832187589,25531796913,28012517580,30366294356,32569298185,34675302051
0,6554150968,11456845910,15448977945,18975075661,22140018227,25027224453,27683488592,30176963766,32523163816,34684660424,36766787076
0,6664640345,11654564549,15740507174,19310707668,22430412559,25289158402,27973263636,30452218576,32764900857,34933011628,37016904604
0,6970212009,12015113943,16126291758,19667912668,22748171381,25573935163,28202863070,30672626399,32988585613,35135413533,37225667942
969528,7252127349,12316070399,16466196693,20005429404,23108903457,25988521415,28646261139,31108136506,33402160746,35574010130,37632834280
1065645,7464708900,12600586072,16761808805,20341654829,23476499640,26373396768,28996296169,31437656825,33701033871,35852210737,37875399360
678988,7889359776,13017978025,17153192254,20709719259,23826123138,26695296581,29300736518,31721951011,33934775092,36061979622,38062594282
628044,8351649114,13644400971,17851610216,21350192600,24445163184,27274212456,29901714926,32271263447,34512632486,36632383073,38619901742
328151,9188981215,14560091113,18794805342,22268118109,25392242790,28196092692,30770966428,33115830392,35302441596,37405659462,39360354275
342479,11652121824,17158020392,21432014037,24966422192,28088670502,30868167182,33432773911,35777413602,37979834162,40070682188,42011070891
482376,10871692380,16576662787,20860328031,24415764317,27505041909,30280023279,32821198554,35122242917,37314285428,39390554913,41283499031
712022,8466593106,14490583796,18855642229,22453673868,25580610021,28371499650,30930311698,33230188727,35401387580,37460065067,39355480168
437999,7337501533,13491003015,17897315342,21469934482,24564895912,27336375678,29835214101,32127815292,34281704130,36297464879,38156654020
412328,6737925876,13483961201,17991471595,21601063542,24705358470,27467519862,30005915903,32302164565,34425916246,36424630257,38308913099
692918,6202162753,13841747281,18406788973,22038864537,25141073746,27889058378,30376995780,32669579857,34747639546,36726713451,38584620634
436805,5722803792,14766123375,19414267865,23049403253,26139065711,28912838355,31387839165,33644254594,35718620445,37694692435,39537499100
513420,5404439214,12640780291,17432391841,21086304471,24178131054,26939540226,29435688965,31688236033,33764360049,35739524997,37569886003
328350,5089441915,11205939745,16116669909,19823552757,22942142651,25691556103,28147452316,30408404547,32480431352,34396978462,36204740431
341882,4773998259,10306927793,15443665441,19187417019,22318415956,25043484345,27469899504,29728480849,31761145653,33651799878,35446164371
386458,4564545187,9704701058,15097388526,18902228129,22045120102,24751553335,27174471865,29412209950,31456182929,33356552732,35186141021
427850,4340695460,9185939301,15208236302,19100705953,22228674717,24948051507,27380720639,29592286642,31623915253,33489689304,35278900095
163180,4091040607,8605195014,15924600681,19861209527,23021011724,25722631943,28131892108,30325509107,32361500196,34268210736,35990954333
286560,3970928784,8277916629,14442950957,18428868421,21597133093,24294145268,26660986792,28860264147,30856031764,32734892652,34428504639
277207,3783914753,7910465119,13117407579,17204198342,20401315626,23119952534,25475165692,27648357132,29615686256,31467850299,33147846706
315216,3639556372,7612531075,12405832135,16645888519,19882011196,22611627531,24983971405,27172763450,29146094215,31021764138,32690374561
212134,3486175132,7262123517,11715550487,16119052735,19355068350,22088813935,24437968936,26605151770,28576550245,30444550111,32118252944
474217,3363967640,7011425705,11152718389,15823290577,19082721726,21816798049,24184949192,26380115008,28344314260,30203156942,31875357126
350439,3221452397,6682666561,10578494138,15682642153,18997354507,21734890047,24069043433,26216935406,28145288191,29999906302,31655306508
317803,3144126569,6509646011,10239030784,16452126597,19825184955,22560724326,24902427175,27038238853,29010207065,30832893835,32491818729
226860,3037340781,6288131350,9845923398,15167890843,18613472562,21338866714,23709418593,25824782424,27763499328,29569514077,31214360517
218502,2935845010,6053237123,9461314108,13996418837,17480653520,20230961875,22568675570,24658605808,26571097099,28367403235,29989972620
290341,2878305951,5884007125,9175311706,13301406561,16863511337,19613659497,21953476423,24044173010,25913023203,27686300462,29295456252
168752,2801046191,5696326643,8861450896,12673931502,16286674415,19038886006,21382654873,23448098360,25294123651,27038769188,28612868541
292530,2742588747,5597388221,8686877350,12271682255,16046134160,18818402364,21168706590,23235813319,25093328472,26832290569,28414471312
338300,2656467517,5399380037,8368788586,11783519733,15762284938,18568868304,20907884454,22952828354,24767767059,26482962586,28032631505
277008,2592279669,5241950341,8081357364,11340351708,15706443747,18545158250,20878552053,22930310509,24754268292,26446870354,27980779667
218104,2481834470,5012959648,7769202581,10841268265,16063117417,18916997312,21240864786,23266198430,25119247824,26790729220,28314334711
326161,2432329439,4917688995,7597593737,10575298795,15249725215,18152362299,20482511805,22517312277,24355990488,25989228661,27522874100
334917,2372029653,4796813808,7397056661,10268761583,14188961486,17122565358,19474047465,21519662990,23345479234,24985844592,26499361977
355812,2311886281,4687195653,7207539807,9960072584,13528591130,16479859237,18827421641,20868395491,22673068184,24302422474,25796169209
210741,2262316177,4592110070,7044805965,9703124182,12999975490,16009102449,18350400134,20366306750,22174766811,23784738501,25271315664
307654,2205486155,4502224954,6887417462,9434774075,12544570557,15608650968,17971266727,20000824942,21810976105,23401109883,24867680183
186463,2161401884,4393198625,6733997616,9202679778,12146424292,15285708594,17652268931,19659417557,21448579593,23036360196,24505406056
336509,2071806512,4243562963,6521970081,8916699067,11723563222,15005385851,17362740846,19346319315,21113845474,22693410163,24150420702
259098,2046413316,4164963734,6363877914,8705181569,11419145360,14972296529,17343198449,19326349665,21066331836,22628923616,24062394644
200393,2000774457,4060698878,6216711046,8523748294,11138970673,15227835414,17626941206,19604955436,21329631124,22872685880,24267760057
130544,1945624393,3961312308,6065818301,8327124951,10851137272,15275515416,17676615785,19639660240,21341209342,22896779805,24274569439
242780,1885129388,3836648360,5907093712,8083971627,10532067040,14131375861,16540383495,18509268600,20195700468,21750101010,23112157306
411134,1830012955,3718635191,5709564123,7830416971,10190965717,13407710172,15834098267,17790646367,19475046246,21015693301,22368457292
231039,1801519339,3656768678,5594907487,7668085905,9956361831,12927553818,15369194268,17313827442,18982942927,20547269191,21914026862
201786,1773272881,3587421357,5469981456,7499251917,9713578249,12505495514,15000288267,16953969573,18618382688,20168188718,21520701969
243377,1708895585,3476044838,5299751483,7284144857,9414571794,12086410867,14620782929,16545663562,18201885240,19711922712,21049814239
272829,1670550474,3395447052,5193534835,7100898493,9166413421,11688179032,14264575914,16177875742,17820184534,19322789555,20643852448
346857,1636318693,3317084036,5074923472,6927262436,8950094252,11363946939,14033493333,15954953554,17589561643,19078417555,20378505848
308450,1585198976,3240925741,4985366308,6792769480,8772291732,11063265501,13798354933,15732639709,17341287452,18819949987,20143787537
276809,1570025624,3192492524,4903782079,6660542935,8600375433,10798712115,13667476414,15612951358,17233538106,18702546355,20010413956
145270,1535730959,3107845088,4768164375,6477068915,8365366184,10497684218,13609296575,15523676376,17120507101,18568575575,19865759861
264869,1482311001,3027927882,4657985239,6309461961,8170253052,10245606142,13997935018,15907329670,17510678441,18953503862,20243551610
248750,1464151256,2972329869,4563875154,6168963981,7948889432,9921761303,13395914248,15342065593,16945400832,18361590501,19638597580
312032,1439204815,2941193931,4508592755,6100229978,7841933300,9772289219,12713455290,14680124928,16308217160,17714959503,18988992726
229646,1428445681,2904437636,4426596795,5985586874,7679002846,9564080892,12258427661,14237010434,15853790909,17236668774,18501639338
261685,1385597399,2801235838,4277175456,5814372647,7462648454,9286583153,11806809698,13792158272,15395252920,16764657888,17996191477
