final lin 0.0,final lin 0.09,final lin 0.18,final lin 0.27,final lin 0.36,final lin 0.45,final lin 0.54,final lin 0.63,final lin 0.72,final lin 0.81,final lin 0.9,final lin 0.99
0,0,0,0,0,0,0,0,0,0,0,1760022068
0,0,0,0,0,0,0,0,0,0,0,2701983792
0,0,0,0,0,0,0,0,0,0,812136711,3503395398
0,0,0,0,0,0,0,0,0,0,2642906463,5227601247
0,0,0,0,0,0,0,0,0,51702787,2708061451,5199389216
0,0,0,0,0,0,0,0,0,1743843965,4311713299,6723979558
0,0,0,0,0,0,0,0,0,3246623907,6225943452,9132100647
0,0,0,0,0,0,0,0,330094235,2877268365,5262935687,7623546919
0,0,0,0,0,0,0,0,2681360029,5574552374,8346948535,11077246445
0,0,0,0,0,0,0,0,2529184530,4872530920,7132857097,9373510532
0,0,0,0,0,0,0,617064772,3568815454,6332206467,9012538661,11641325278
0,0,0,0,0,0,0,2875217471,5759339595,8498510318,11131277333,13668315796
0,0,0,0,0,0,0,2987563319,5798675726,8494535492,11085526636,13533347230
0,0,0,0,0,0,629957385,3511244157,6257377492,8879301395,11393746393,13757198350
0,0,0,0,0,0,2754606755,5581651500,8269023120,10824898724,13251165429,15585629255
0,0,0,0,0,0,2973648244,5757399345,8391022060,10881493528,13263401143,15527630108
0,0,0,0,0,372098757,3722194704,6873062597,9881014461,12737010522,15435207344,18009207669
0,0,0,0,0,2577249597,5420744876,8096913393,10615321078,13009965290,15270592554,17431886381
0,0,0,0,0,3520637753,6794796494,9860586315,12692100799,15402676615,17985109565,20437217614
0,0,0,0,0,3000276036,5766389170,8314385767,10686738994,12917961620,15060511438,17092744412
0,0,0,0,1548502580,4970099227,8139688841,11036929244,13761680427,16306175221,18706124574,21034572033
0,0,0,0,3652116058,6986442449,10070232616,12894668073,15562918181,18073003487,20392202023,22658341786
0,0,0,0,4034754452,7721383876,11127025300,14250758548,17206266549,20023738001,22635210822,25170058096
0,0,0,269605598,3686515198,6832726690,9745366907,12415740743,14933296708,17317865948,19552779626,21749016261
0,0,0,2971247309,6294281843,9375491975,12238205878,14835081452,17253955506,19569069567,21757973052,23912253522
0,0,0,4326017618,8034685297,11491141371,14667135004,17541863134,20230102195,22818214008,25259267607,27639084727
0,0,0,4223479883,7839436049,11204210037,14307807669,17088616356,19718386431,22269434693,24652965750,26939501819
0,0,319242964,3970664313,7074109113,9942500486,12621221576,15017911707,17286991098,19445204604,21491458322,23428412086
0,0,4294566663,8928822346,12889637950,16489061793,19819585493,22839322933,25720199964,28407157863,30942609699,33408729139
0,0,4668036331,8678970483,12127885651,15234581514,18098424344,20729662641,23226827076,25553480948,27741343663,29881088178
0,0,4594662444,8523616755,11904220397,14942382849,17748075889,20300372677,22732766990,24976233887,27135503287,29210747325
0,230483989,5340581308,9662139535,13371335360,16718599338,19808159709,22579548930,25211176670,27671860226,30031115870,32287503837
0,4205285711,8705791504,12468217441,15708975624,18624056178,21318310611,23747474557,26031262237,28173941604,30209356190,32135695493
0,6899467708,11908986845,16050118936,19647451488,22851501136,25806015530,28470363447,31003387284,33351698923,35581480590,37680886213
0,6863363337,11884483378,15947965669,19498480088,22649944583,25498586997,28094444089,30589397236,32908229811,35110198442,37195770978
0,6854123966,11836635022,15843854441,19306485286,22380605247,25172314756,27724061906,30156424976,32427765206,34596307210,36646261731
721375,6956586280,11856864566,15778835768,19202304010,22241773892,24977082423,27489983977,29857229272,32041668192,34129805440,36133947773
2031989,7867579226,13218019193,17498444518,21241741779,24547326799,27505916713,30251978209,32825580733,35189770184,37415266983,39558773195
1118977,8075710739,13399141630,17593957155,21272677324,24492409366,27403029335,30102730398,32594818343,34895037851,37068250186,39115393235
776100,7612926488,12416410577,16149848383,19389371373,22213228536,24817134979,27199464673,29383765089,31410817098,33340631737,35123160108
729534,9158692619,14483669740,18579324759,22089547051,25151860939,28000236892,30558492735,32942486865,35163635912,37241749132,39181056071
700281,12501959284,18441674867,22971461321,26795424824,30084843084,33125836709,35882966784,38449134867,40829028801,43063734524,45139945702
571727,10514378129,15974387695,20044365744,23503422748,26467069849,29163736162,31624075448,33885944273,35979745459,37947956551,39784552227
575707,8729919060,14856680713,19278585685,23012290350,26230426213,29112933054,31753110630,34155995233,36394201565,38508784719,40465057403
531728,7451864445,13766460606,18142519759,21810837004,24965104812,27770503531,30357276671,32710461024,34910167025,36989195844,38927512758
496903,6598806767,13271231395,17691863563,21286579663,24381036031,27117249813,29651554414,31919867058,34048260613,36074625077,37955666408
468645,5946520587,13450200254,17890720482,21472326661,24512852636,27172822553,29655684062,31863593838,33942708426,35905997651,37724454278
443770,5428965367,14252452038,18686371635,22224017321,25230041472,27824017815,30241009926,32387541535,34411982067,36303004442,38062009222
460884,5452318614,13016505226,17931886418,21749464409,24971152621,27761006256,30309032703,32590299053,34756856828,36749628102,38639476576
438795,5007540878,11294314053,16265818618,20024280873,23207803870,25947038870,28433199600,30672319143,32783705163,34742505545,36586229003
420487,4668854818,10235755045,15355702466,19081644141,22205877277,24926093648,27349639824,29567734619,31612831550,33528039589,35291530426
404169,4348155970,9394457471,14696706603,18406813848,21477385639,24156339758,26528433688,28690501426,30691529807,32558544026,34274235660
420686,4433005988,9444232744,15649976502,19668541707,22953288641,25799077594,28296800423,30579249629,32690594456,34666415507,36477246852
405960,4155776103,8749205742,16281400517,20248709093,23468735456,26227307286,28664279992,30889066560,32938000410,34868915718,36622317255
392826,3924296915,8205991263,14528967911,18473537155,21636452707,24317099520,26720746492,28888436776,30907163819,32780983838,34505448586
381085,3702888321,7743826499,12971952111,16946307476,20050297138,22680927689,25040999830,27160252320,29137709350,30952610643,32646812267
397403,3797842763,7897227440,12895218905,17232073466,20519638638,23304294393,25780201449,27989260848,30076700999,31996441661,33759837376
386657,3569405290,7396594583,11899527579,16339191112,19609960485,22344574108,24755584677,26929882955,28954829146,30843380140,32566739045
376309,3374483994,6961663168,11061101177,15665786455,18899785404,21545745124,23895173153,26009384774,27993710488,29839436483,31519619751
366757,3213722640,6629817136,10409274687,15398100013,18625824094,21236266891,23559346325,25617135675,27532815344,29304122901,30931389482
383871,3268270331,6702740288,10489243036,16874601209,20305385885,23072115322,25496019897,27681696000,29689362623,31515564131,33224957614
374319,3095253761,6330015477,9882161696,15250567582,18641773745,21357632613,23770391397,25902745251,27849929008,29623283280,31275359987
367155,2928215549,5991925024,9330238977,13782109170,17180211280,19842925805,22228230350,24311892486,26204110055,27960057797,29602525988
360190,2810219494,5729778543,8893575068,12862032073,16298194127,18921056116,21217884067,23284072411,25131533089,26836188780,28442698865
377105,2837985367,5774074948,8982747167,12836518283,16515762220,19273790183,21661969681,23808564373,25737653060,27494555604,29144295454
369543,2712107320,5501234008,8538372406,12099448153,15873116197,18620064437,20962291253,23040062790,24917602119,26630527852,28223305942
364170,2590700007,5254791811,8115730037,11457136450,15331345861,18036797626,20323330113,22371462590,24174098518,25864459641,27419910107
381085,2606471155,5297688848,8194190961,11533178927,15974715448,18802907826,21189371745,23324509012,25203642530,26936077228,28515023226
375513,2493678353,5072749994,7837329435,10973118103,16260615763,19069566234,21413912798,23494852813,25332507567,27035703991,28585095902
371334,2374271388,4860659575,7483748623,10426731564,15075979907,17863080178,20160980540,22176191253,23966596044,25632700062,27143632039
388050,2415270164,4932645835,7572920722,10524358974,14551107855,17479715633,19853263855,21958223966,23794705018,25496720775,27065820850
384866,2317462460,4675920512,7173535881,9959869405,13533439964,16481705161,18830516887,20873283528,22665400913,24297140616,25821169579
384866,2228456924,4490665243,6870083368,9497278383,12755304791,15715268004,18024128092,20002963993,21784254385,23376486021,24851253131
400985,2237713011,4542367234,6955866895,9588782961,12745991193,15890078161,18264104779,20308638540,22143859126,23808602979,25318865918
398398,2101570146,4301769070,6605476650,9135617176,12096943141,15282742101,17631682978,19605894119,21416088863,23045500863,24512463989
418099,2103626612,4316257265,6615298693,9115264650,12038997525,15450074037,17919321359,19953447221,21783366049,23436741032,24936577963
397005,1933073861,3934940032,6022469534,8279904440,10886637877,14273285547,16596999393,18509749782,20201322417,21739429635,23114421727
418895,1963728617,3997254494,6099703822,8356319445,10956984178,14954611200,17380492442,19342425880,21100936543,22648663421,24057005923
441780,1984488297,4035941487,6149559491,8435679252,11023991060,15514344271,18012436842,20019731534,21824116473,23399229731,24857048011
445760,1893975535,3854621841,5862917105,8033454283,10485463628,14104208779,16561333419,18519734209,20253621010,21793293363,23190724496
450934,1826025194,3693908048,5644416299,7709953913,9993726668,13179748906,15595562141,17527692543,19216484551,20722260438,22078085049
479988,1826379016,3707773174,5658666689,7727321041,9984802712,12992036186,15499474792,17487790655,19191341896,20716733611,22119921416
490535,1758873042,3561232758,5406180663,7387423469,9558928782,12321135944,14820818326,16774360929,18459657701,19955879399,21345913503
504067,1707684073,3451054816,5229880195,7119316540,9173256036,11756649161,14244292839,16169245709,17814003196,19284303552,20637409624
546255,1700866333,3450718108,5233990540,7111332461,9157945772,11690935779,14314351386,16297792346,17953740001,19434282688,20806230080
597796,1696030036,3449174863,5219720051,7079854044,9110543972,11600622614,14385111209,16402588930,18098194101,19594440674,20976446919
636601,1619874328,3294756833,5001093875,6799159370,8749292705,11091105203,13889513052,15859501214,17509275889,18991125409,20310797292
693117,1544377509,3152232635,4767759808,6495924762,8374104274,10593289191,13435114064,15368750896,16985489979,18438317737,19733010344
813711,1558635262,3146342036,4757010425,6477965808,8339626927,10540057288,13704349124,15682326539,17346164544,18810724546,20144643834
985249,1504847950,3033270037,4589683862,6242942629,8009532493,10097335421,13825775740,15785234016,17395743802,18830537583,20111143975
1637372,1505535694,3031052779,4583239446,6229072926,7986923705,10039833376,13556399589,15556233771,17200105111,18638268161,19924528342
1487923,1438171806,2886356496,4397011266,5980749582,7657585670,9625409110,12522734685,14492382159,16113677944,17505069228,18740991961
0,1363366313,2754412531,4211599981,5725248507,7324065451,9191420557,11801452021,13753795450,15321863312,16687896225,17903230219
0,1405667942,2833589855,4332415070,5906136721,7531318578,9436597910,12016206254,14105716005,15751339540,17178679776,18452603549
0,1317434725,2628823830,4025910693,5485935485,6982964526,8739965774,11046171202,13029237246,14578649455,15918982513,17103812195
0,1363536657,2722548452,4172491307,5676450921,7243494132,9047033321,11394686071,13508473424,15113504143,16530917463,17783026458
0,1257197425,2539229851,3873562263,5274077896,6737368079,8413945268,10554120618,12585580079,14114761152,15465581510,16650869688
0,1309610244,2622530853,3977359270,5415265610,6929107365,8624328665,10757185591,12917277060,14542708463,15953808906,17184967579
0,1260137451,2516298484,3832571447,5233730646,6673833349,8286346468,10278280350,12409181504,13981678310,15340221659,16545576599
0,1213700602,2419800797,3686973296,5031588237,6432758779,7955976618,9849085906,11982685301,13536021392,14868677229,16040659670
0,1216230091,2429853481,3691208016,5016313395,6416545453,7916409846,9767973108,11974846691,13530381931,14873303780,16024544849
0,1193675232,2401077882,3663734474,4967879979,6330223631,7816526373,9617982430,11933260268,13507552054,14835067323,15969362149
0,1135008639,2279679723,3483477687,4731715933,6035183843,7472670293,9191422149,11605555028,13133363399,14415311449,15516188603
0,1113526390,2245953402,3432586422,4678409405,5956667995,7377186511,9049835639,11734541256,13287507605,14581129592,15680824686
0,1080736165,2173983659,3312667828,4506571711,5744776377,7110316964,8707411364,11831406297,13361137804,14646692928,15721024278
0,1070421597,2158613297,3267006681,4448245209,5685771484,7055153965,8625165659,11388446824,12938374841,14250750389,15320558469
0,1046250858,2123454375,3226635949,4398667742,5617460555,6965427651,8484124210,10909282883,12471616560,13779798183,14863629594
0,997549190,2024460830,3091759520,4223061187,5385977984,6677341918,8136332109,10326489493,11871598128,13156753063,14243668775
0,984502153,2008912363,3063150285,4193370984,5342066047,6598859303,8046452963,10113893614,11665190353,12960627220,14052518927
0,973118159,1970625161,2998988904,4114791257,5251295580,6491618203,7911749266,9879322563,11448310800,12738873162,13821393760
0,942783793,1910151449,2905399801,3977094600,5063504653,6265546044,7609775920,9446899145,10991342921,12241077249,13296331066
0,930151273,1895320974,2882065260,3933252512,4995066961,6183979725,7511107342,9280709867,10851238961,12098851551,13137333648
0,908384255,1847242176,2817915421,3852764375,4896389229,6054413611,7361524614,9060600345,10633114265,11874661136,12916796276
0,904386544,1831912211,2777571753,3782971891,4813473292,5944686802,7231798305,8892095105,10472738175,11713473126,12764887835
0,869988399,1760023461,2655453015,3622997383,4624996810,5707436415,6947218554,8537830728,10104756330,11329109601,12362235414
0,849636470,1730479125,2617107506,3578889033,4568614140,5625760248,6860166004,8400588388,9995790696,11221344733,12231337791
0,840031337,1722213262,2614758112,3571233503,4541625163,5583489265,6779971790,8263200778,9878090952,11113562950,12130938709
0,831953927,1698413260,2576135396,3521269379,4474310428,5500442386,6675348734,8114218632,9750851546,10983901913,11975725873
0,814442723,1642799128,2489673279,3396133005,4321490965,5312572655,6435781987,7819715945,9455339133,10647538183,11615998747
0,831629358,1663589255,2518313757,3416378867,4348604715,5335769488,6459884668,7840081804,9552767543,10767477473,11741034427
0,795693341,1585953385,2414348595,3282638330,4174998508,5118038613,6206412796,7537154651,9265635418,10442164810,11399145661
0,780286164,1560089952,2381723938,3237286230,4119547556,5060387119,6124128087,7430820195,9221685273,10387876814,11330470164
0,769766029,1540196121,2346409000,3174806996,4037659255,4959738690,5996820822,7265443434,9116678346,10289304751,11227388363
0,731775735,1475723305,2254433588,3058409906,3877834395,4751213356,5753938536,6962643044,8885483529,10042505946,10953661276
0,732315423,1475651665,2264900192,3071149886,3902512982,4780603865,5787683364,6989556003,9222010041,10399254042,11315522677
0,736502781,1477540573,2256598509,3054451796,3868464679,4730153982,5717649891,6895297464,9406307722,10581745002,11495782847
0,710780041,1418186634,2156150672,2924797326,3706856580,4524376241,5487446691,6602010269,8613205162,9761650082,10639594103
0,701704646,1396451058,2122169034,2893113939,3678573506,4487441841,5450311699,6562534639,8388062532,9553051516,10446687483
0,668030463,1340654045,2043536771,2791023755,3541587677,4325394748,5253746663,6319975330,7962807890,9100583823,9979840846
0,670681541,1350397284,2061766365,2804557745,3554006073,4347383651,5277896308,6333288231,7898620440,9049533358,9934797992
0,645399586,1306011528,1989899704,2703699172,3425637939,4190417227,5084436070,6102388531,7563041566,8695616634,9576399191
