final lin 0.0,final lin 0.09,final lin 0.18,final lin 0.27,final lin 0.36,final lin 0.45,final lin 0.54,final lin 0.63,final lin 0.72,final lin 0.81,final lin 0.9,final lin 0.99
0,0,0,0,0,0,0,0,0,0,0,196403846
0,0,0,0,0,0,0,0,0,0,0,288223640
0,0,0,0,0,0,0,0,0,0,82745394,339249827
0,0,0,0,0,0,0,0,0,0,316022149,591893660
0,0,0,0,0,0,0,0,0,7719011,366209352,618151511
0,0,0,0,0,0,0,0,0,264940242,558688918,775586381
0,0,0,0,0,0,0,0,0,340628300,591438746,812070245
0,0,0,0,0,0,0,0,25124944,311602558,549448950,738137168
0,0,0,0,0,0,0,0,184029031,404613367,639115763,829758360
0,0,0,0,0,0,0,0,219608440,429002608,629206956,830826194
0,0,0,0,0,0,0,54369188,303550222,513996901,722924613,923470246
0,0,0,0,0,0,0,239191632,483536170,730555865,918658625,1129333557
0,0,0,0,0,0,0,223236409,435600652,669761166,917897052,1102883671
0,0,0,0,0,0,50657838,293224908,514240278,764447555,992545733,1191175195
0,0,0,0,0,0,198629661,451693981,712029761,976928014,1206033530,1422266731
0,0,0,0,0,0,243327847,461849747,726376069,959159702,1192529589,1412295637
0,0,0,0,0,29213399,299529427,493520597,738640439,954551658,1166681877,1370637972
0,0,0,0,0,258464782,523142543,720654421,930559223,1119004064,1318734593,1502680243
0,0,0,0,0,347710909,588401409,782577450,981700830,1176312084,1386748017,1566830679
0,0,0,0,0,282780194,537383978,724878992,933283334,1138806753,1351620935,1525685439
0,0,0,0,121864615,412723214,651958427,856213619,1071796090,1259758555,1453923253,1614443817
0,0,0,0,252284638,504840115,715469277,907629050,1128141149,1299546814,1487189884,1649506224
0,0,0,0,251783158,477579901,683600422,876357593,1102261597,1298699671,1478664923,1625395384
0,0,0,16822067,295761163,514588727,726421441,931923965,1138194231,1333138611,1519227093,1677028919
0,0,0,190058731,478821661,707923993,925638152,1119725439,1305397215,1477657386,1643363890,1791245168
0,0,0,260439061,547432682,750640139,956819462,1146545465,1315523330,1473124763,1637944722,1772402853
0,0,0,232321356,477251551,667664303,860905044,1054555725,1222543565,1366369223,1518275077,1643532443
0,0,27506974,241074172,467413190,647983999,825440458,1005871370,1162674614,1295460747,1437289440,1597871694
0,0,242070963,472265208,742182440,941427608,1115222666,1292954541,1439309489,1567496135,1718337538,1882685867
0,0,282366672,533040405,783278925,957837148,1135972197,1295452588,1434672988,1591811945,1725384924,1863775494
