final lin 0.0 0.0,final log 0.0 0.0,final power 0.0 0.0,final lin 0.0 0.524,final log 0.0 0.524,final power 0.0 0.524,final lin 0.0 1.047,final log 0.0 1.047,final power 0.0 1.047,final lin 0.0 1.571,final log 0.0 1.571,final power 0.0 1.571,final lin 0.5 0.0,final log 0.5 0.0,final power 0.5 0.0,final lin 0.5 0.524,final log 0.5 0.524,final power 0.5 0.524,final lin 0.5 1.047,final log 0.5 1.047,final power 0.5 1.047,final lin 0.5 1.571,final log 0.5 1.571,final power 0.5 1.571,final lin 0.9 0.0,final log 0.9 0.0,final power 0.9 0.0,final lin 0.9 0.524,final log 0.9 0.524,final power 0.9 0.524,final lin 0.9 1.047,final log 0.9 1.047,final power 0.9 1.047,final lin 0.9 1.571,final log 0.9 1.571,final power 0.9 1.571
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
491554,4952803,175234,491554,4952803,175234,491554,4952803,175234,491554,4952803,175234,491554,4952803,175234,491554,4952803,175234,491554,4952803,175234,491554,4952803,175234,495642,4993957,176634,495642,4993957,176634,495642,4993957,176634,495642,4993957,176634
857462,8821960,145104,857462,8821960,145104,857462,8821960,145104,857462,8821960,145104,857462,8821960,145104,857462,8821960,145104,857462,8821960,145104,857462,8821960,145104,863368,8883038,146004,863368,8883038,146004,863368,8883038,146004,863368,8883038,146004
613234,6249741,118796,613234,6249741,118796,613234,6249741,118796,613234,6249741,118796,613234,6249741,118796,613234,6249741,118796,613234,6249741,118796,613234,6249741,118796,616594,6283969,119430,616594,6283969,119430,616594,6283969,119430,616594,6283969,119430
540082,5492550,107670,540082,5492550,107670,540082,5492550,107670,540082,5492550,107670,540082,5492550,107670,540082,5492550,107670,540082,5492550,107670,540082,5492550,107670,542682,5518884,108186,542682,5518884,108186,542682,5518884,108186,542682,5518884,108186
600868,5105179,101173,600868,5105179,101173,600868,5105179,101173,600868,5105179,101173,600868,5105179,101173,600868,5105179,101173,600868,5105179,101173,600868,5105179,101173,603454,5127131,101617,603454,5127131,101617,603454,5127131,101617,603454,5127131,101617
480150,4896139,192042,480150,4896139,192042,480150,4896139,192042,480150,4896139,192042,480150,4896139,192042,480150,4896139,192042,480150,4896139,192042,480150,4896139,192042,482012,4915173,192792,482012,4915173,192792,482012,4915173,192792,482012,4915173,192792
568626,4827670,94421,568626,4827670,94421,568626,4827670,94421,568626,4827670,94421,568626,4827670,94421,568626,4827670,94421,568626,4827670,94421,568626,4827670,94421,570608,4844568,94749,570608,4844568,94749,570608,4844568,94749,570608,4844568,94749
492991,5025160,96366,492991,5025160,96366,492991,5025160,96366,492991,5025160,96366,492991,5025160,96366,492991,5025160,96366,492991,5025160,96366,492991,5025160,96366,494481,5040386,96672,494783,5043874,96672,494783,5043874,96672,494783,5043874,96672
622008,5288874,208937,622008,5288874,208937,622008,5288874,208937,622008,5288874,208937,622008,5288874,208937,622008,5288874,208937,622008,5288874,208937,622008,5288874,208937,623646,5302766,209489,631484,5370356,211775,631484,5370356,211775,631484,5370356,211775
513715,4389032,87294,513715,4389032,87294,513715,4389032,87294,513715,4389032,87294,513715,4389032,87294,513715,4389032,87294,513715,4389032,87294,513715,4389032,87294,515213,4401804,87546,520613,4448582,88494,520613,4448582,88494,520613,4448582,88494
455854,3820737,155361,455854,3820737,155361,455854,3820737,155361,455854,3820737,155361,455854,3820737,155361,455854,3820737,155361,455854,3820737,155361,455854,3820737,155361,457240,3832337,155831,460874,3863099,157119,460874,3863099,157119,460874,3863099,157119
419269,3580902,139066,419269,3580902,139066,419269,3580902,139066,419269,3580902,139066,419269,3580902,139066,419269,3580902,139066,419269,3580902,139066,419269,3580902,139066,420559,3591920,139494,423471,3616978,140458,423471,3616978,140458,423471,3616978,140458
465867,3943426,65592,465867,3943426,65592,465867,3943426,65592,465867,3943426,65592,466509,3948760,65592,466509,3948760,65592,466509,3948760,65592,466509,3948760,65592,467717,3959052,65794,470201,3980268,66210,470201,3980268,66210,470201,3980268,66210
1401958,11833962,431126,1401958,11833962,431126,1401958,11833962,431126,1401958,11833962,431126,1409554,11897950,433462,1409554,11897950,433462,1409554,11897950,433462,1409554,11897950,433462,1410688,11907612,433842,1412868,11926168,434584,1412868,11926168,434584,1412868,11926168,434584
1451474,10627325,418320,1451474,10627325,418320,1451474,10627325,418320,1451474,10627325,418320,1457148,10669099,419974,1457148,10669099,419974,1457148,10669099,419974,1457148,10669099,419974,1458390,10678187,420330,1460656,10694753,420982,1460656,10694753,420982,1460656,10694753,420982
1077542,9189331,359249,1077542,9189331,359249,1077542,9189331,359249,1077542,9189331,359249,1080886,9218061,360363,1080886,9218061,360363,1080886,9218061,360363,1080886,9218061,360363,1081892,9226629,360701,1083648,9241613,361287,1083648,9241613,361287,1083648,9241613,361287
1169880,8531621,333270,1169880,8531621,333270,1169880,8531621,333270,1169880,8531621,333270,1173046,8554767,334166,1173046,8554767,334166,1173046,8554767,334166,1173046,8554767,334166,1174158,8562867,334484,1176032,8576573,335016,1176032,8576573,335016,1176032,8576573,335016
956418,8130561,317748,956418,8130561,317748,956418,8130561,317748,956418,8130561,317748,958744,8150325,318518,958744,8150325,318518,958744,8150325,318518,958744,8150325,318518,959650,8158007,318818,961136,8170627,319308,961136,8170627,319308,961136,8170627,319308
1083987,7880768,308612,1083987,7880768,308612,1083987,7880768,308612,1083987,7880768,308612,1086397,7898182,309294,1086397,7898182,309294,1086397,7898182,309294,1086397,7898182,309294,1087403,7905472,309580,1089017,7917178,310038,1089017,7917178,310038,1089017,7917178,310038
1069317,7790515,305773,1069317,7790515,305773,1069317,7790515,305773,1069317,7790515,305773,1071481,7806163,306391,1071481,7806163,306391,1071481,7806163,306391,1071481,7806163,306391,1072435,7813103,306665,1073935,7824019,307093,1073935,7824019,307093,1073935,7824019,307093
1264502,8074367,474886,1264502,8074367,474886,1264502,8074367,474886,1264502,8074367,474886,1266738,8088617,475722,1271168,8116925,477790,1271168,8116925,477790,1271168,8116925,477790,1272202,8123527,478178,1273800,8133723,478774,1273800,8133723,478774,1273800,8133723,478774
1051717,7697282,298209,1051717,7697282,298209,1051717,7697282,298209,1051717,7697282,298209,1053511,7710388,298721,1064051,7787790,301795,1064051,7787790,301795,1064051,7787790,301795,1064913,7794086,302041,1066223,7803652,302415,1066223,7803652,302415,1066223,7803652,302415
946316,6884221,271488,946316,6884221,271488,946316,6884221,271488,946316,6884221,271488,947986,6896375,271966,953812,6938573,273658,953812,6938573,273658,953812,6938573,273658,954638,6944583,273896,955876,6953591,274252,955876,6953591,274252,955876,6953591,274252
