final lin 0.0 0 ,final log 0.0 0 ,final power 0.0 0 ,final lin 0.5235987755982988 0 ,final log 0.5235987755982988 0 ,final power 0.5235987755982988 0 ,final lin 1.0471975511965976 0 ,final log 1.0471975511965976 0 ,final power 1.0471975511965976 0 ,final lin 1.5707963267948966 0 ,final log 1.5707963267948966 0 ,final power 1.5707963267948966 0 ,final lin 0.0 1 ,final log 0.0 1 ,final power 0.0 1 ,final lin 0.5235987755982988 1 ,final log 0.5235987755982988 1 ,final power 0.5235987755982988 1 ,final lin 1.0471975511965976 1 ,final log 1.0471975511965976 1 ,final power 1.0471975511965976 1 ,final lin 1.5707963267948966 1 ,final log 1.5707963267948966 1 ,final power 1.5707963267948966 1 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12044,121298,4128,12044,121298,4128,12044,121298,4128,12044,121298,4128,16132,162452,5528,16132,162452,5528,16132,162452,5528,16132,162452,5528
17414,180058,2650,17414,180058,2650,17414,180058,2650,17414,180058,2650,23320,241136,3550,23320,241136,3550,23320,241136,3550,23320,241136,3550
9910,100930,1870,9910,100930,1870,9910,100930,1870,9910,100930,1870,13270,135158,2504,13270,135158,2504,13270,135158,2504,13270,135158,2504
7674,77668,1522,7674,77668,1522,7674,77668,1522,7674,77668,1522,10274,104002,2038,10274,104002,2038,10274,104002,2038,10274,104002,2038
7620,64768,1310,7620,64768,1310,7620,64768,1310,7620,64768,1310,10206,86720,1754,10206,86720,1754,10206,86720,1754,10206,86720,1754
5490,56190,2214,5490,56190,2214,5490,56190,2214,5490,56190,2214,7352,75224,2964,7352,75224,2964,7352,75224,2964,7352,75224,2964
5846,49886,968,5846,49886,968,5846,49886,968,5846,49886,968,7828,66784,1296,7828,66784,1296,7828,66784,1296,7828,66784,1296
4406,44986,900,4406,44986,900,4406,44986,900,4406,44986,900,5896,60212,1206,6198,63700,1206,6198,63700,1206,6198,63700,1206
4836,41046,1628,4836,41046,1628,4836,41046,1628,4836,41046,1628,6474,54938,2180,14312,122528,4466,14312,122528,4466,14312,122528,4466
